"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Abu Hasem Kahn Chowdhury";"INC";"0";"Doctorate";"70";"11560825";"654320";"Yes";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Abul Hasnat Kha";"CPI(M)";"0";"Post Graduate";"67";"10785663";"0";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Bimal Mard";"Jharkhand Disom Party";"0";"Graduate";"30";"160000";"0";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Bisnu Pada Roy";"BJP";" 1";"Post Graduate";"50";"5419006";"650967";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Dipak Singh";"Rashtriya Janadhikar Suraksha Party";"0";"Graduate";"49";"1408500";"0";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Firoz Akhta";"Bahujan Mukti Party";"0";"Post Graduate";"46";"909008";"1533677";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Imtiaz Ahmed Mollah";"SDPI";"0";"12th Pass";"47";"74000";"57000";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Manjur Alahi Munsh";"IND";"0";"10th Pass";"48";"4835000";"0";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Md Ezarudd";"Jamat-E-Seratul Mustakim";"0";"Post Graduate";"79";"542142";"0";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Md Faruque Hossa";"IUML";"0";"Post Graduate";"39";"3143672";"424909";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Md. Moazzem Hossa";"AITC";"0";"Post Graduate";"57";"8580219";"0";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Md. Najrul Islam";"AIUDF";"0";"Others";"35";"1225345";"0";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Mursed Sekh";"RPI(A)";"0";"5th Pass";"36";"160500";"0";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Naresh Rish";"IND";"0";"12th Pass";"61";"528000";"0";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Nasmul Hoqu";"Party for Democratic Socialism";" 1";"10th Pass";"35";"625000";"0";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Nikhil Chandra Mondal";"BSP";"0";"10th Pass";"44";"10144432";"160000";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
"Sadhan Chatterj";"IND";"0";"Graduate Professional";"62";"14981015";"0";"No";"MALDAHA DAKSHIN";"WEST BENGAL";"2014";"Loksabha";"No Comment"
