"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sandhya Roy";"AITC";"0";"Literate";"73";"31031095";"0";"Yes";"MEDINIPUR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Asoke Bera";"Amra Bangalee";"0";"Graduate";"40";"1768414";"184000";"No";"MEDINIPUR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Dr. Bimal Kumar Raj";"INC";"0";"Post Graduate";"58";"63998568";"250000";"No";"MEDINIPUR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Kavita Ra";"BSP";"0";"Graduate Professional";"38";"214653";"0";"No";"MEDINIPUR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Mukim Kha";"JMM";"0";"Literate";"60";"500000";"0";"No";"MEDINIPUR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Prabhakar Tewa";"BJP";" 2";"Graduate";"62";"1343573";"0";"No";"MEDINIPUR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Prabodh Panda";"CPI";"0";"Graduate";"68";"5651726";"0";"No";"MEDINIPUR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Ramkrisna Sarka";"IND";"0";"12th Pass";"69";"15322678";"950000";"No";"MEDINIPUR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Soumen Samanta";"Party for Democratic Socialism";"0";"8th Pass";"40";"11000";"0";"No";"MEDINIPUR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
"Tushar Jana";"SUCI(C)";"0";"12th Pass";"55";"563400";"0";"No";"MEDINIPUR";"WEST BENGAL";"2014";"Lok Sabha";"No Comment"
