"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr.Beesetti Venkata Satyavathi";"YSRCP";"0";"Graduate Professional";"52";"91526244";"11139279";"Yes";"ANAKAPALLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Adari Anand Kuma";"TDP";"0";"10th Pass";"43";"410547212";"205591400";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Appala Naidu Tummagonta";"IND";"0";"10th Pass";"38";"0";"0";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Chintala Partha Sarath";"Janasena Party";"0";"Post Graduate";"56";"335308506";"110928567";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Dr Gandi Venkata Satyanarayana Rao";"BJP";"0";"Post Graduate";"65";"57688924";"9497894";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"K B Swaroop";"Jana Jagruti Party";"0";"Graduate Professional";"51";"24454500";"0";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"P.S.Ajay Kuma";"CPI(ML)(L)";" 3";"Post Graduate";"57";"1258000";"0";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Ruthala Srirama Murthy";"INC";"0";"Graduate Professional";"49";"27611641";"0";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Taadi Veera Jagadeeshwa";"Pyramid Party of India";"0";"5th Pass";"65";"286242307";"318680";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Vadlamuri Krishna Swaroop";"Dalita Bahujana Party";"0";"Post Graduate";"46";"16500";"0";"No";"ANAKAPALLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
