"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Yeduguri Sandinti Avinash Reddy";"YSRCP";" 4";"Post Graduate";"34";"186969794";"22833319";"Yes";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Ameen Peeran Shaik";"Ambedkar National Congress";"0";"Post Graduate";"48";"83993";"9000";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Chadipirala Adi Narayana Reddy";"TDP";"0";"Post Graduate";"61";"30742398";"961319";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Chadipiralla Siva Narayana Reddy";"Navarang Congress Party";"0";"Others";"53";"11320100";"591000";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Gona Purushottam Reddy";"IND";" 4";"Graduate";"40";"22473647";"9206703";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Gujjula Eswaraiah";"CPI";" 1";"Post Graduate";"50";"327881";"100000";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Gundlakunta Sreeramulu";"INC";"0";"12th Pass";"42";"16452000";"1130000";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Jakku Chenna Krishna Reddy";"IND";" 1";"10th Pass";"44";"24746957";"12380000";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Lakshmi Reddy Putha";"Rajyadhikara Party";" 3";"Graduate Professional";"32";"7300000";"0";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Nyamatulla Shaik";"IND";"0";"Graduate";"31";"4909000";"1000000";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Pedakala Varalakshm";"Pyramid Party of India";"0";"Graduate Professional";"43";"11034583";"2402564";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Siva Chandra Reddy Komma";"Anna YSR Congress Party";"0";"Post Graduate";"0";"5160000";"1100000";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Sri Rama Chandra Singareddy";"BJP";"0";"Graduate";"50";"84971019";"15886451";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Venu Gopal Rach";"IND";"0";"10th Pass";"39";"3100000";"200000";"No";"KADAPA";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
