"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr Sanjeev Kumar";"YSRCP";"0";"Post Graduate";"52";"325914387";"62070621";"Yes";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Abdul Waris";"SDPI";" 4";"8th Pass";"58";"5110000";"0";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Ahmed Ali Kha";"INC";"0";"12th Pass";"42";"158831414";"0";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"B. Shiva Kuma";"IND";"0";"10th Pass";"40";"5237200";"627000";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Dandu Seshu Yadav";"SP";"0";"Graduate Professional";"39";"1950000";"0";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Devarapogu Maddilety";"IND";" 1";"10th Pass";"45";"523616";"0";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"G Sanjeeva Kuma";"Samajwadi Forward Bloc";"0";"10th Pass";"38";"160000";"0";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Hatcholi Thomas";"IND";"0";"10th Pass";"47";"2752615";"238020";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kasula Rajasekha";"Pyramid Party of India";"0";"10th Pass";"46";"4650560";"1808144";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kommireddy Prabhakar Reddy";"CPI(M)";" 1";"Graduate Professional";"58";"1659077";"85000";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kotla Jaya Surya Prakash Reddy";"TDP";"0";"Graduate";"67";"174762674";"1450000";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"M. Naganna";"SUCI(C)";" 1";"Illiterate";"66";"444500";"15000";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"P.V. Parthasarath";"BJP";"0";"Post Graduate";"48";"297510890";"62328052";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"P.V. Sriha";"IND";"0";"Doctorate";"51";"25865207";"5975759";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"S.Md. Shafath";"Rayalaseema Rashtra Samithi";"0";"Graduate Professional";"30";"5000000";"0";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"T. Beechupally";"IND";"0";"Graduate";"26";"192000";"0";"No";"KURNOOL";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
