"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Lavu Sri Krishna Devarayalu";"YSRCP";"0";"Graduate Professional";"36";"177710073";"10142413";"Yes";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Allu Venkata Reddy";"Pyramid Party of India";"0";"Graduate Professional";"49";"16364000";"1290000";"No";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Durgampudi Rami Reddy";"IND";"0";"Illiterate";"66";"1945300";"70000";"No";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Gaddala Venu";"IND";"0";"Graduate";"28";"15000";"0";"No";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kanakam Srinivasarao";"National Nava Kranthi Party";"0";"10th Pass";"40";"50000";"0";"No";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kanna Lakshmi Narayana";"BJP";"0";"Graduate";"64";"391360844";"22561506";"No";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kante Sayanna";"IND";"0";"Graduate";"40";"2251000";"0";"No";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Narasimharao Parim";"IND";" 1";"Illiterate";"31";"451000";"0";"No";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Pakkala Suribabu";"INC";" 1";"Post Graduate";"60";"74537563";"19126000";"No";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Rayapati Sambasiva Rao";"TDP";"0";"Graduate";"75";"437940180";"1233171";"No";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Reddyboina Prasanna Kuma";"IND";"0";"5th Pass";"50";"12500";"0";"No";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Shaik Nayub Kamal";"Janasena Party";"0";"12th Pass";"50";"55264531";"5468120";"No";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Surabhi Devasahayam";"IUML";"0";"8th Pass";"47";"423688";"0";"No";"NARASARAOPET";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
