"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Kanumuru Raghu Rama Krishna Raju";"YSRCP";" 3";"Post Graduate";"57";"3259405378";"1014467354";"Yes";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Dasari Krishna Murthy";"India Praja Bandhu Party";"0";"10th Pass";"32";"703000";"153000";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"G S Raju";"SP";"0";"10th Pass";"51";"1700000";"0";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Ganji Purnima";"RPI(A)";"0";"Graduate";"35";"99000";"0";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Gottumukkala Shivaj";"IND";"0";"Post Graduate";"48";"8084000";"0";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Gurugubilli Rambabu";"Marxist Communist Party of India (United)";"0";"5th Pass";"52";"30000";"0";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"K.A.Paul";"Praja Shanthi Party";" 2";"12th Pass";"55";"78000";"207017";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kanumuru Bapiraju";"INC";" 1";"10th Pass";"71";"143319558";"0";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Medapati Varahala Reddy";"IND";"0";"10th Pass";"44";"26680000";"1300000";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Nagababu Konidela";"Janasena Party";"0";"Graduate Professional";"58";"367820773";"21678798";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Nallam Surya Chandra Rao";"Pyramid Party of India";"0";"Graduate";"59";"20935000";"898000";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Nalli Rajesh";"IND";" 6";"10th Pass";"36";"3239775";"2362420";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Pydikondala Manikyala Rao";"BJP";" 3";"12th Pass";"58";"22392505";"1242976";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Venkata Sivarama Raju Vetuku";"TDP";" 1";"Graduate";"48";"60940339";"0";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Yella Venugopal Rao";"Nava Samaj Party";"0";"Post Graduate";"63";"1000000";"200000";"No";"NARSAPURAM";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
