"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Adala Prabhakara Reddy";"YSRCP";"0";"12th Pass";"70";"2211663364";"152281255";"Yes";"NELLORE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Beeda Masthan Rao";"TDP";"0";"Graduate";"60";"1654392880";"680973688";"No";"NELLORE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Butti Nagaraju";"IND";"0";"Post Graduate";"49";"9430000";"4073216";"No";"NELLORE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Chandra Rajagopal";"CPI(M)";" 2";"10th Pass";"67";"2353200";"240000";"No";"NELLORE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Chevuru Devakumar Reddy";"INC";" 2";"12th Pass";"61";"73819429";"3948741";"No";"NELLORE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Chinni Venkateswarlu";"Pyramid Party of India";"0";"Literate";"67";"1280000";"0";"No";"NELLORE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Dr. S. Suresh Babu";"IND";"0";"Doctorate";"42";"9550548";"0";"No";"NELLORE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kankanala Penchala Naidu";"IND";"0";"8th Pass";"33";"0";"0";"No";"NELLORE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Meda Malla Reddy";"IND";"0";"5th Pass";"68";"1640000";"0";"No";"NELLORE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Narasapuram Prasad";"IND";"0";"Others";"50";"8563000";"0";"No";"NELLORE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Sannapureddy Suresh Reddy";"BJP";" 1";"Graduate";"58";"28828964";"700000";"No";"NELLORE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Shaik Mahaboob Basha (Mabu)";"RPI(A)";" 1";"Graduate Professional";"35";"0";"0";"No";"NELLORE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
