"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Magunta Sreenivasulu Reddy";"YSRCP";"0";"Graduate";"65";"266583686";"91302133";"Yes";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Bellamkonda Saibabu";"Janasena Party";"0";"Graduate Professional";"49";"13866784";"2472903";"No";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Billa Chennaiah";"IND";"0";"12th Pass";"49";"2837000";"1846848";"No";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Dr Sirivella Prasad";"INC";"0";"Doctorate";"51";"2069078";"0";"No";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kavuri Venu Babu Naidu";"IND";"0";"10th Pass";"41";"2291000";"1050000";"No";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Konda Praveen Kuma";"Navodayam Party";"0";"10th Pass";"45";"20000";"0";"No";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Madhu Yattapu";"IND";"0";"Graduate";"33";"2800000";"900000";"No";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Maram Srinivasa Reddy";"Praja Shanthi Party";"0";"Post Graduate";"27";"52197";"0";"No";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Mohan Ayyappa";"IND";"0";"Post Graduate";"29";"136431";"47495";"No";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Sidda Raghava Rao";"TDP";"0";"Graduate";"61";"916836770";"129414369";"No";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Thoganti Sreenivasulu";"BJP";"0";"Graduate Professional";"44";"19563101";"2920000";"No";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Venkatesan Baburao";"India Praja Bandhu Party";"0";"Graduate";"34";"850000";"0";"No";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Venkatesh Vepu";"IND";"0";"10th Pass";"32";"41836";"0";"No";"ONGOLE";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
