"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Margani Bharat Ram";"YSRCP";" 2";"Graduate";"36";"458205360";"17814757";"Yes";"RAJAHMUNDRY";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Akula Satyanarayana";"Janasena Party";"0";"Post Graduate";"55";"673924565";"461954372";"No";"RAJAHMUNDRY";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Bandaru Rajeswara Rao";"Jana Jagruti Party";"0";"5th Pass";"59";"205700";"0";"No";"RAJAHMUNDRY";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Geddam David Nelson Babu";"Ambedkarite Party of India";" 1";"Post Graduate";"60";"5020544";"760000";"No";"RAJAHMUNDRY";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kuruvella Bhanu Chanda";"IND";"0";"10th Pass";"34";"40000";"0";"No";"RAJAHMUNDRY";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Meda Srinivasa Rao";"Rashtriya Praja Congress (Secular)";" 2";"Post Graduate";"50";"35830000";"400000";"No";"RAJAHMUNDRY";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Nalluri Vijaya Srinivasa Rao";"INC";"0";"12th Pass";"55";"562700";"261693";"No";"RAJAHMUNDRY";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Paravasthu Satya Gopinath Das";"BJP";"0";"12th Pass";"48";"3939990";"0";"No";"RAJAHMUNDRY";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Roopa Rammohan Magant";"TDP";"0";"Graduate";"45";"431848590";"324874000";"No";"RAJAHMUNDRY";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Srinivasa Rao Sangisett";"Pyramid Party of India";"0";"Illiterate";"50";"6835000";"200000";"No";"RAJAHMUNDRY";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
"Venu Kollapu";"IND";" 1";"Graduate";"41";"1330000";"900000";"No";"RAJAHMUNDRY";"ANDHRA PRADESH";"2019";"Lok Sabha";"No Comment"
