"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Badruddin Ajmal";"AIUDF";" 7";"Post Graduate";"63";"788064044";"10159381";"Yes";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Abu Taher Bepa";"INC";" 1";"Post Graduate";"52";"37395652";"2210543";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Alakesh Roy";"Hindusthan Nirman Dal";"0";"Graduate";"39";"2540000";"0";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Anamika Sarka";"IND";"0";"Post Graduate";"43";"6200000";"0";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Johirul Islam Kha";"Purvanchal Janta Party (Secular)";"0";"Graduate";"36";"478362";"0";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Mehbubar Rahma";"RPI(A)";"0";"10th Pass";"46";"490400";"0";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Mir Hussain Sarka";"IND";"0";"Graduate";"28";"168201";"359305";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Nripen Das";"Bharatiya National Janta Dal";"0";"10th Pass";"45";"60000";"0";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Nurul Islam Choudhury";"AITC";"0";"Graduate Professional";"67";"6623252";"120410";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Rukunur Zama";"IND";"0";"8th Pass";"41";"1290000";"0";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Shajahan Sheikh";"Voters Party International";"0";"Post Graduate";"49";"513496";"0";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Shukur Al";"IND";"0";"12th Pass";"26";"250000";"0";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Surat Jaman Mondal";"SUCI(C)";"0";"Graduate";"64";"1661652";"0";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Uttam Kumar Ray";"IND";" 1";"Graduate";"36";"63245";"0";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
"Zabed Islam";"Asom Gana Parishad";"0";"Graduate";"51";"12133685";"1391293";"No";"DHUBRI";"ASSAM";"2019";"Lok Sabha";"No Comment"
