"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Ashwini Kumar Choubey";"BJP";" 3";"Graduate";"66";"40183612";"1350667";"Yes";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Anil Kuma";"Jantantrik Vikas Party";" 22";"Graduate";"46";"162240912";"13103750";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Anil Kumar Ra";"Rashtriya Dal United";" 3";"Post Graduate";"56";"11457400";"168000";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Arvind Kumar Pandey";"IND";"0";"Post Graduate";"33";"1521000";"0";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Binod Kumar Bikrant";"Peoples Party of India (Democratic)";"0";"Post Graduate";"43";"465000";"0";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Dhanjit Singh";"Voters Party International";" 4";"12th Pass";"43";"5500000";"0";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Jagadanand Singh";"RJD";" 1";"Graduate Professional";"75";"35871242";"530000";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Jay Prakash Ram";"IND";"0";"12th Pass";"26";"478000";"0";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Rakesh Kumar Ra";"IND";"0";"10th Pass";"45";"46812000";"86000";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Ranjit Singh";"IND";" 2";"12th Pass";"75";"24344242";"500000";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Ravi Raj";"Pragatishil Samajwadi Party (Lohia)";"0";"Post Graduate";"40";"6957512";"2800000";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Santosh Kumar Yadav";"Bahujan Mukti Party";" 1";"12th Pass";"46";"3408807";"720000";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Sushil Kumar Singh";"BSP";" 1";"Graduate Professional";"50";"9632514";"265000";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Uday Narayan Ra";"Suheldev Bhartiya Samaj Party";"0";"Graduate";"34";"695070";"0";"No";"BUXAR";"BIHAR";"2019";"Lok Sabha";"No Comment"
