"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr. Alok Kumar Suman";"JD(U)";"0";"Post Graduate";"61";"32739903";"3576376";"Yes";"GOPALGANJ";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Ajay Paswa";"SHS";" 2";"Graduate";"46";"9352000";"0";"No";"GOPALGANJ";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Dilip Kumar Manjh";"IND";"0";"Graduate";"44";"11019000";"0";"No";"GOPALGANJ";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Dinanath Manjh";"IND";"0";"Graduate";"40";"6959365";"0";"No";"GOPALGANJ";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Gaya Ram";"IND";"0";"Post Graduate";"66";"7302000";"0";"No";"GOPALGANJ";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Kunal Kishore Vivek";"BSP";"0";"Post Graduate";"29";"200000";"0";"No";"GOPALGANJ";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Om Prakash Manjh";"Jai Prakash Janata Dal";" 1";"Literate";"37";"2634834";"0";"No";"GOPALGANJ";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Ram Kumar Manjh";"IND";"0";"Graduate";"39";"2860000";"0";"No";"GOPALGANJ";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Suraj Kuma";"IND";"0";"Post Graduate";"29";"1483579";"0";"No";"GOPALGANJ";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Surendra Ram S/O Ganesh Ram";"RJD";" 1";"Graduate";"41";"8195606";"21600";"No";"GOPALGANJ";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Surendra Ram S/O Late Chandradev Ram";"IND";" 3";"Literate";"46";"4069000";"50000";"No";"GOPALGANJ";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Uma Shankar Kharwa";"IND";"0";"Graduate Professional";"64";"32115837";"0";"No";"GOPALGANJ";"BIHAR";"2019";"Lok Sabha";"No Comment"
