"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Ajay Nishad";"BJP";" 1";"Graduate";"50";"298867486";"15714320";"Yes";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Ajitansh Gau";"IND";"0";"Post Graduate";"30";"95536";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Anirudh Singh";"AIFB";"0";"Graduate";"62";"1210000";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Devendra Rakesh";"Bajjikanchal Vikas Party";"0";"Post Graduate";"69";"96715000";"290000";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Dharmendra Paswa";"Bharatiya Momin Front";"0";"Literate";"26";"106866";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Jauhar Azad";"Bahujan Mukti Party";"0";"12th Pass";"39";"2387372";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Mohamad Idris";"SUCI(C)";"0";"12th Pass";"64";"8162850";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Mukesh Kuma";"IND";"0";"Graduate";"34";"102438";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Nageshwar Prasad Singh";"Rashtriya Rashtrawadi Party";"0";"5th Pass";"55";"1041057";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Nandan Kuma";"Janata Party";"0";"Post Graduate";"27";"5809";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Pankaj Kuma";"Aap Aur Hum Party";"0";"12th Pass";"41";"3405000";"2450000";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Pradeep Kumar Singh";"SHS";"0";"Graduate Professional";"43";"5961760";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Raj Bhushan Chaudhry";"Vikassheel Insaan Party";"0";"Post Graduate";"41";"71600000";"14100000";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Renu Kha";"Jan Adhikar Party";"0";"Post Graduate";"57";"6270738";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Ritesh Prasad";"IND";"0";"12th Pass";"45";"6080000";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Shiv Shakti Monu";"Bihar Lok Nirman Dal";"0";"10th Pass";"34";"1173000";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Shiva Bihari Singhania";"Bharat Nirman Party";"0";"12th Pass";"49";"8886364";"0";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Sudhir Kumar Jha";"Yuva Krantikari Party";"0";"Graduate";"40";"8678000";"380000";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Sukhdeo Prasad";"Voters Party International";"0";"12th Pass";"70";"2025238";"300000";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Surendra Ray";"Rashtriya Hind Sena";"0";"8th Pass";"58";"16193100";"40000";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Suresh Kuma";"IND";"0";"Graduate";"49";"4147000";"1175000";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Swarnlata Dev";"BSP";"0";"12th Pass";"47";"33350332";"4737454";"No";"MUZAFFARPUR";"BIHAR";"2019";"Lok Sabha";"No Comment"
