"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Ravi Shankar Prasad";"BJP";"0";"Post Graduate";"64";"235275591";"0";"Yes";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Akhilesh Kuma";"Asli Deshi Party";"0";"12th Pass";"44";"18233000";"0";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Amit Kumar Gupta";"IND";"0";"12th Pass";"30";"100000";"0";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Anamika Kuma";"SUCI(C)";"0";"Post Graduate";"39";"24070";"0";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Arvind Kuma";"IND";"0";"Post Graduate";"39";"41043115";"12207247";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Ashok Kumar Gupta";"IND";"0";"Post Graduate";"67";"147248402";"300000";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Basant Singh";"Bharatiya Jan Kranti Dal (Democratic)";"0";"10th Pass";"28";"2958991";"0";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Javed";"IND";"0";"5th Pass";"46";"54714";"0";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Kumar Raunak";"IND";"0";"Graduate Professional";"37";"7686000";"200000";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Mahboob Alam Ansa";"Bharatiya Momin Front";"0";"Graduate Professional";"60";"2059386";"0";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Nimesh Shukla";"IND";"0";"Post Graduate";"41";"1485500";"432437";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Prabhash Chandra Sharma";"Vanchit Samaj Party";"0";"Graduate";"42";"493348961";"0";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Rajesh Kuma";"Janata Party";"0";"Graduate Professional";"38";"34213000";"7380000";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Rani Dev";"IND";"0";"5th Pass";"35";"50859";"0";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Rita Dev";"Vikassheel Insaan Party";"0";"Literate";"39";"4295541";"0";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Shatrughan Sinha";"INC";" 2";"Graduate";"73";"1935459756";"284863762";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Sumit Ranjan Sinha";"SHS";"0";"Post Graduate";"31";"86000";"0";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Vishnu Dev";"IND";"0";"Graduate";"59";"14210591";"500000";"No";"PATNA SAHIB";"BIHAR";"2019";"Lok Sabha";"No Comment"
