"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Radha Mohan Singh";"BJP";" 1";"Graduate";"69";"33791375";"1146627";"Yes";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Aakash Kuma";"Rashtriya Lok Samta Party";"0";"12th Pass";"27";"25867226";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Aniket Ranja";"IND";" 6";"Graduate";"28";"3768500";"100000";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Devendra Singh";"Rashtriya Sarvjan Vikas Party";" 1";"12th Pass";"35";"53290135";"220000";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Dinesh Saha";"Rashtriya mahan Gantantra Party";"0";"Literate";"34";"2230000";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Manoj Tiwa";"IND";"0";"10th Pass";"39";"1514000";"50000";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Mohammad Ajmer Alam";"IND";"0";"Post Graduate";"35";"2481716";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Muneshwar Tiwary";"IND";"0";"10th Pass";"50";"11122472";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Parasnath Pandey";"Janvadi Party(Socialist)";" 1";"Graduate";"59";"2300000";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Parasnath Ram";"Janata Party";" 1";"12th Pass";"42";"5000";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Prabhakar Jayaswal";"CPI";" 1";"12th Pass";"55";"290251911";"367711";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Pradip Singh";"IND";" 2";"Literate";"39";"11069100";"650000";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Rajiv Ranja";"Janta Dal Rashtravadi";"0";"Post Graduate";"44";"46495000";"11900000";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Ramchandra Sah";"Rashtriya Jansambhavna Party";"0";"10th Pass";"69";"1334000";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Randhir Kumar Tiwa";"Asli Deshi Party";"0";"10th Pass";"31";"1992480";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Sachin Paswa";"Rashtriya Hind Sena";" 1";"8th Pass";"34";"2597200";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Satyam Yadav";"Bahujan Nyay Dal";" 1";"8th Pass";"30";"2595500";"77904";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Shakti Kuma";"IND";"0";"Graduate";"27";"7181900";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Shatrughna Tiwary";"Bajjikanchal Vikas Party";" 1";"8th Pass";"59";"87880034";"330000";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Shekh Seraj";"Akhil Bhartiya Apna Dal";" 1";"10th Pass";"25";"115500";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Shobha Dev";"Shoshit Samaj Dal";"0";"Literate";"42";"210000";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Vinay Kumar Srivastava";"Rashtriya Samta Party (Secular)";"0";"12th Pass";"38";"14835935";"0";"No";"PURVI CHAMPARAN";"BIHAR";"2019";"Lok Sabha";"No Comment"
