"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dileshwar Kamait";"JD(U)";" 2";"Graduate";"73";"23441606";"0";"Yes";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Anand Pathak";"Hind Samrajya Party";" 1";"Graduate";"32";"6850000";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Bhim Kumar Gupta";"Jammu & Kashmir National Panthers Party";"0";"12th Pass";"41";"52000";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Binod Kumar Sahu";"IND";"0";"Graduate";"50";"7525000";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Deep Narayan Mandal";"SHS";"0";"Graduate";"61";"6064918";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Dinesh Prasad Yadav";"IND";" 3";"Graduate Professional";"52";"7370423";"50000";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Kiran Dev";"BSP";"0";"10th Pass";"32";"834000";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Krishandev Mandal";"Rashtravadi Janata Party";" 1";"5th Pass";"50";"9917500";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Md. Afroj Alam";"IND";"0";"12th Pass";"29";"1452300";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Mohammad Abul Kalam Azad";"Jai Hind Party";"0";"12th Pass";"27";"2066100";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Naveen Kumar Singh";"Bihar Lok Nirman Dal";"0";"Literate";"39";"4941000";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Pramod Kumar Nirala";"Vanchit Samaj Party";" 3";"Graduate";"48";"25235000";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Rajesh Kumar S/O Jawahar Lal Das";"IND";"0";"Graduate";"28";"473206";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Rajesh Kumar S/O Yugeshwar Sah";"IND";"0";"Graduate Professional";"26";"680000";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Ranjeet Ranja";"INC";" 5";"12th Pass";"46";"119543561";"17695194";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Sandeep Kumar Singh";"IND";"0";"Graduate";"41";"60808000";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Sanjay Sarda";"Lok Sewa Dal";"0";"Literate";"40";"8715000";"650000";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Sanjeet Kumar Chaudhary";"Aam Janta Party Rashtriya";"0";"10th Pass";"41";"2124233";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Satya Narayan Mehta";"Jan Adhikar Party";" 1";"Others";"59";"3442357";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
"Sudhakar Jha";"IND";"0";"Graduate";"50";"10191402";"0";"No";"SUPAUL";"BIHAR";"2019";"Lok Sabha";"No Comment"
