"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Arun Sao";"BJP";"0";"Graduate Professional";"51";"13544588";"50000";"Yes";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Arun Kumar Sahu";"IND";"0";"8th Pass";"42";"61250";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Atal Shrivastav";"INC";" 4";"Graduate Professional";"51";"158233341";"11386394";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Avishek Ekka";"IND";"0";"Post Graduate";"31";"490000";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Baldau Prasad Sahu";"IND";"0";"Graduate";"46";"1197650";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Dujram Sahu";"IND";"0";"Literate";"47";"285000";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Hairschandra Teli (Sahu)";"IND";"0";"10th Pass";"50";"250000";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Harish Kumar Mandwa";"IND";"0";"Graduate Professional";"38";"244000";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Hori Lal Anant";"IND";"0";"12th Pass";"25";"223000";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Indrasen Mog";"IND";"0";"Graduate Professional";"53";"149000";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Nand Kishore Raj";"Gondvana Gantantra Party";"0";"Post Graduate";"46";"3842000";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Pooran Lal Chhabariya";"Swabhiman Party";" 1";"10th Pass";"56";"5315000";"2500000";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Raju Khatik";"IND";"0";"10th Pass";"50";"6090000";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Ramfal Mandrey";"Ambedkarite Party of India";"0";"Post Graduate";"40";"2397221";"1025508";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Ramkumar Ghatlaha";"Bhartiya Lokmat Rashtrwadi Party";"0";"8th Pass";"46";"12200000";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Salik Ram Jogivansh";"IND";"0";"Post Graduate";"52";"1087000";"100000";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Sandeep Singh Port";"Adhikar Vikas Party";"0";"Graduate Professional";"28";"2722000";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Sandeep Tiwa";"Bhartiya Sarvjan Hitey Samaj Party";" 4";"Post Graduate";"43";"13642500";"450000";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Santosh Kumar Kaushal";"SHS";"0";"12th Pass";"47";"3279613";"726958";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Shambhu Sharma";"Bharat Bhoomi Party";"0";"Graduate Professional";"74";"2970212";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Siddhram Laha";"Rashtriya Jansabha Party";"0";"Post Graduate";"44";"1257000";"25000";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Urmila Tiwa";"IND";"0";"Post Graduate";"60";"220000";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Uttam Das Gurugosa";"BSP";"0";"12th Pass";"47";"9874225";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Vidya Sahu";"IND";"0";"Literate";"49";"152500";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Yaman Banja";"Bhartiya Kisan Party";"0";"Graduate";"26";"23948167";"0";"No";"BILASPUR";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
