"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Vijay Baghel";"BJP";"0";"Graduate";"59";"34429027";"8748686";"Yes";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Aatma Ram Sahu";"SUCI(C)";"0";"Post Graduate";"37";"48000";"0";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Anoop Kumar Pandey";"IND";"0";"8th Pass";"30";"525000";"0";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Anurag Singh";"Bhartiya Kisan Party";"0";"Others";"25";"3490";"0";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Arun Kumar Josh";"IND";"0";"Others";"49";"113812";"0";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Farid Mohammad Quraish";"Gondvana Gantantra Party";"0";"Graduate Professional";"37";"232561";"0";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Geetanjali Singh";"BSP";"0";"Post Graduate";"25";"5448306";"2900000";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Guru Dada Lokesh";"IND";"0";"Post Graduate";"65";"6005000";"0";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Hidar Bhat";"Sarvadharam Party";"0";"5th Pass";"52";"1667000";"0";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Kamlesh Kumar Nagarch";"SHS";"0";"8th Pass";"42";"2606000";"36000";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Malik Ram Thaku";"Ambedkarite Party of India";"0";"10th Pass";"57";"8114967";"350000";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Manoj Gaykwad Chhattisgarhiya";"IND";"0";"12th Pass";"29";"2500";"0";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Pitambar Lal Nishad";"Bharat Prabhat Party";"0";"12th Pass";"30";"1000000";"550000";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Pokhraj Meshram";"Bharatiya Prajatantrik Shudh Gandhiwadi Krish";"0";"12th Pass";"47";"122923";"0";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Pratima Chandraka";"INC";"0";"12th Pass";"61";"54656426";"878370";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Praveen Tiwa";"IND";"0";"Graduate";"40";"63482500";"0";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Raj Kumar Gupta";"Chhattisgarh Swabhiman Manch";"0";"Post Graduate";"66";"96788732";"148000";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Rajesh Kumar Dubey";"Bhartiya Shakti Chetna Party";"0";"Graduate";"49";"9325683";"2900000";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Sevakram Banja";"Rashtriya Jansabha Party";"0";"Graduate Professional";"61";"22752461";"2700000";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Sunil Kumar Markandey";"IND";"0";"Post Graduate";"35";"392100";"69000";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Tressa David";"India Praja Bandhu Party";"0";"Graduate";"53";"430000";"0";"No";"DURG";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
