"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Santosh Pandey";"BJP";"0";"Graduate Professional";"51";"24861970";"1519820";"Yes";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Ajay Pal";"SHS";"0";"5th Pass";"40";"502403";"880";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Baidya Shekhu Ram Verma";"Ambedkarite Party of India";"0";"Post Graduate";"52";"6480674";"820000";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Bhola Ram Sahu";"INC";"0";"8th Pass";"60";"12428558";"657124";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Dr. Gojupal";"RPI(A)";" 1";"Graduate";"53";"2350000";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Kamini Sahu";"IND";"0";"12th Pass";"34";"52000";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Kranti Gupta";"IND";"0";"10th Pass";"46";"1092000";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Mahendra Kumar Sahu";"Forward Democratic Labour Party";"0";"Graduate Professional";"35";"1749490";"681000";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Pratima Santosh Washnik";"Republican Paksha (Khoripa)";"0";"10th Pass";"38";"6000";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Ramkhilawan Dahariya";"IND";"0";"12th Pass";"50";"5820000";"1400000";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Ravita Lakra (Dhruv)";"BSP";"0";"Post Graduate";"45";"3892830";"23000";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Sachchidanand Kaushik";"IND";"0";"12th Pass";"33";"514600";"290000";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Sudesh Tikam";"IND";" 3";"10th Pass";"52";"2915682";"252190";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
"Vishwanath Singh Port";"Gondvana Gantantra Party";"0";"12th Pass";"49";"5420000";"0";"No";"RAJNANDGAON";"CHHATTISGARH";"2019";"Lok Sabha";"No Comment"
