"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Patel Hasmukhbhai Somabhai";"BJP";"0";"Others";"58";"74699690";"6252577";"Yes";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Atulbhai Nanubhai Kathiriya";"IND";"0";"Graduate";"34";"2895740";"33199";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Bharvad Saileshkumar Kalidas";"IND";" 2";"8th Pass";"42";"3590000";"1800000";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Bhatt Sunilkumar Narendrabha";"Right to Recall Party";"0";"Post Graduate";"38";"2505720";"0";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Chauhan Kiritbha";"IND";"0";"10th Pass";"45";"2850000";"0";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Chauhan Narendra Sinh Makhatul Sinh";"Yuva Jan Jagriti Party";"0";"Graduate";"51";"5310700";"16071";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Devda Dasharath Misarilal";"IND";" 1";"5th Pass";"55";"65000";"0";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Dr. Hiteshkumar Mahendrabha";"Nirbhay Bharteey Party";"0";"Graduate Professional";"38";"5466908";"2133343";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Geetaben Patel";"INC";" 6";"10th Pass";"39";"40375418";"3121888";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Jayswal Nareshkumar Babulal";"IND";"0";"10th Pass";"28";"562000";"0";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Kadri Mohammad Sab";"Ambedkar National Congress";"0";"5th Pass";"33";"50000";"0";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Mahesh Prabhudas Ahuja";"IND";" 1";"Others";"57";"11137240";"1528108";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Manoj Premchand Gupta";"Sarvodaya Bharat Party";"0";"8th Pass";"35";"3925000";"1600000";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Minaxiben Rakeshkumar Solank";"IND";"0";"Graduate";"32";"6963794";"0";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Mishra Arjun Ramshanka";"Jan Sangharsh Virat Party";"0";"Others";"27";"95166";"161113";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Mishra Rajkumar Malekchand";"IND";"0";"12th Pass";"36";"4240000";"2778000";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Mundra Anilkuma";"Lok Gathbandhan Party";"0";"Graduate Professional";"40";"1839497";"324958";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Pareshkumar Nanubhai Mula";"IND";"0";"Doctorate";"47";"2100000";"0";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Rajesh Maurya";"Prajatantra Aadhar Party";"0";"10th Pass";"44";"17796";"0";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Samirbhai Rajeshbhai Upadhyay";"Manvadhikar National Party";"0";"8th Pass";"37";"95000";"0";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Sharma Brijeshkumar Ujagarlal";"IND";"0";"Graduate";"38";"26800";"0";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Shekh Salmabanu Mohamad Salim";"IND";"0";"8th Pass";"33";"140000";"0";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Thakur Jitendrasinh Surendrasinh";"Loktantrik Rashrtavadi Party";"0";"12th Pass";"33";"1198040";"49305";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Vaghela Ganeshbhai Narsinhbha";"BSP";"0";"12th Pass";"59";"70910239";"0";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Vekariya Rushi Bharatbhai (Patel)";"Hindusthan Nirman Dal";"0";"12th Pass";"25";"10055717";"757236";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Virat Pradip Shah";"Jan Satya Path Party";"0";"12th Pass";"45";"14301000";"798000";"No";"AHMEDABAD EAST";"GUJARAT";"2019";"Lok Sabha";"No Comment"
