"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Kachhadiya Naranbhai Bhikhabhai";"BJP";"0";"12th Pass";"64";"35900763";"828961";"Yes";"AMRELI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Bagda Himmatbhai Danjibha";"IND";" 2";"Graduate Professional";"50";"9701209";"0";"No";"AMRELI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Chauhan Dayabhai Bhagvanbha";"IND";"0";"Literate";"54";"1100000";"130000";"No";"AMRELI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Chauhan Ravjibhai Mulabha";"BSP";"0";"Literate";"47";"133189";"0";"No";"AMRELI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Dayala Subhashbhai Parbatbha";"IND";"0";"8th Pass";"42";"540971";"0";"No";"AMRELI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Dhapa Dharamshibhai Ramjibha";"Vyavastha Parivartan Party";" 2";"10th Pass";"45";"3060000";"177000";"No";"AMRELI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Gosai Rasikpragat Samjupragat";"IND";"0";"8th Pass";"45";"6639063";"0";"No";"AMRELI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Jerambhai Raghavbhai Parma";"IND";" 2";"5th Pass";"57";"346000";"0";"No";"AMRELI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Nanalal Kalidas Maheta";"IND";"0";"8th Pass";"62";"3242000";"0";"No";"AMRELI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Paresh Dhana";"INC";"0";"Graduate";"42";"14342991";"0";"No";"AMRELI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Sukhdiya Nathabha";"IND";" 1";"5th Pass";"44";"8854262";"210444";"No";"AMRELI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Valodara Vrajlal Jivabha";"IND";"0";"Literate";"77";"15000";"0";"No";"AMRELI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
