"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Mansukhbhai Vasava";"BJP";"0";"Post Graduate";"61";"6835957";"0";"Yes";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Chhotubhai Vasava";"Bhartiya Tribal Party";" 6";"10th Pass";"73";"20146320";"4595420";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Jitendra Parma";"IND";"0";"Graduate Professional";"56";"21024000";"0";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Mukhtiyar Shaikh";"IND";"0";"8th Pass";"57";"54474";"0";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Parmar Ashokchandra";"IND";"0";"10th Pass";"58";"36219720";"0";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Patel Imra";"IND";"0";"8th Pass";"37";"100000";"0";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Pathan Salimkha";"Sanyukt Vikas Party";"0";"8th Pass";"33";"3187427";"34000";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Rafikbhai Sapa";"IND";" 1";"5th Pass";"51";"160000";"0";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Rajeshbhai Solank";"IND";"0";"12th Pass";"37";"246000";"0";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Sabbirbhai Patel";"Apna Desh Party";"0";"5th Pass";"64";"240000";"0";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Sherkhan Patha";"INC";" 3";"12th Pass";"37";"3343699";"0";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Sindha Kiritsinh";"IND";"0";"5th Pass";"40";"1035000";"0";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Sukhdev Vasava";"Bahujan Mukti Party";"0";"8th Pass";"37";"136000";"0";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Vasava Navinbha";"IND";"0";"10th Pass";"56";"876000";"178000";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Vasava Rajeshbha";"BSP";"0";"8th Pass";"34";"126900";"734";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Vashi Narendrasinh";"Yuva Jan Jagriti Party";"0";"Others";"47";"4130000";"0";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Vikramsinh Gohil";"IND";"0";"12th Pass";"37";"4636000";"0";"No";"BHARUCH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
