"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Chudasama Rajeshbhai Naranbhai";"BJP";" 1";"12th Pass";"36";"10866041";"1481768";"Yes";"JUNAGADH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Bhut Ashokbhai Bhimjibha";"Rashtriya Samajwadi Party (Secular)";"0";"8th Pass";"66";"7882314";"1361151";"No";"JUNAGADH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Deven Govindbhai Vanv";"BSP";"0";"12th Pass";"48";"503683";"0";"No";"JUNAGADH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Dharmendra Vajubhai Makwana";"IND";"0";"Post Graduate";"34";"295000";"0";"No";"JUNAGADH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Haresh Manubhai Sardhara";"IND";"0";"Graduate";"38";"769762";"0";"No";"JUNAGADH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Karia Dhirenbhai Amrutlal";"IND";" 28";"10th Pass";"37";"82928865";"5796716";"No";"JUNAGADH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Panchabhai Bhayabhai Damaniya";"IND";"0";"5th Pass";"36";"870364";"0";"No";"JUNAGADH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Pradipbhai Mavjibhai Tank";"IND";"0";"10th Pass";"44";"6767500";"835000";"No";"JUNAGADH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Rathod Nathabhai Vasharambha";"Vyavastha Parivartan Party";"0";"8th Pass";"69";"3825000";"0";"No";"JUNAGADH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Vala Jaypalsinh Hajabha";"IND";"0";"Graduate";"28";"299787";"148824";"No";"JUNAGADH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Vansh Punjabhai Bhimabha";"INC";"0";"Graduate";"55";"24571504";"2788342";"No";"JUNAGADH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Zala Mukeshbhai Bharmalbha";"IND";" 1";"10th Pass";"36";"10572716";"1878780";"No";"JUNAGADH";"GUJARAT";"2019";"Lok Sabha";"No Comment"
