"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Patil Chandrakant";"BJP";" 1";"10th Pass";"64";"446044269";"56846658";"Yes";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Amrutham Narsaiya";"Pyramid Party of India";"0";"10th Pass";"58";"8374000";"170000";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Anishbhai Gaffarbhai Bhima";"IND";"0";"10th Pass";"62";"150000";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Chandansinh";"IND";"0";"8th Pass";"33";"929313";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Chauhan Nileshkumar Khushalbha";"IND";" 1";"Graduate Professional";"43";"2105497";"92320";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Govindbhai Laxmanbhai Rathod";"IND";"0";"5th Pass";"62";"1765000";"230000";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Hiramanib";"Rashtriya Samaj Paksha";"0";"8th Pass";"32";"186000";"1300000";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Jain Rajendrakumar Anilkuma";"IND";"0";"Post Graduate";"32";"534450";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Jawadkhan Sujatkhan Patha";"Yuva Sarkar";"0";"8th Pass";"35";"725000";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Khadadiya Kanubhai Tapubha";"SUCI(C)";"0";"Doctorate";"61";"7591975";"1200000";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Khan Heenabegam";"IND";"0";"Graduate";"38";"5190000";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Mishra Jitendrabhai Premnath";"Sanyukt Vikas Party";"0";"Graduate";"49";"1118952";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Pasvan Virendra";"Bharatiya Bahujan Congress";"0";"10th Pass";"49";"826000";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Patel Dharmeshbha";"INC";"0";"12th Pass";"47";"31846750";"1659481";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Patel Navinkuma";"IND";"0";"Graduate Professional";"47";"745000";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Prakash Amarnath Shukla";"Bhartiya Shakti Chetna Party";"0";"12th Pass";"48";"1411694";"650000";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Ramjan Bhilubhai Mansu";"IND";"0";"10th Pass";"52";"250000";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Sachin Kinra";"Rashtriya Nav Nirman Bharat Party";"0";"12th Pass";"37";"13758802";"2280942";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Saiyad Mehmud Ahmad";"IND";"0";"10th Pass";"61";"258400";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Shaikh Javeed Ahemad";"IND";" 1";"Illiterate";"35";"250000";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Shaikh Saeed Inayat";"IND";"0";"10th Pass";"25";"210000";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Sharma Rajmal Mohanlal";"Svatantra Bharat Satyagrah Party";"0";"8th Pass";"37";"389183";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Shekh Hamid Ramja";"IND";" 1";"Literate";"57";"75000";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Singh Vineeta";"BSP";"0";"Post Graduate";"38";"5884818";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Sohilkhaa Hashimkhaa Patha";"IND";"0";"5th Pass";"33";"250000";"0";"No";"NAVSARI";"GUJARAT";"2019";"Lok Sabha";"No Comment"
