"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Rameshbhai Dhaduk";"BJP";"0";"10th Pass";"57";"357564783";"217944697";"Yes";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Aantroliya Karabha";"IND";"0";"8th Pass";"40";"760000";"1329600";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Alpesh Vadoliya";"IND";"0";"Graduate";"33";"75124";"0";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Bhanubhai Odedra";"IND";"0";"Graduate Professional";"49";"2177555";"820000";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Bhargav Josh";"Gujarat Janta Panchayat Party";"0";"8th Pass";"46";"1298006";"361000";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Kadavala Samatbha";"BSP";"0";"8th Pass";"44";"300000";"358662";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Kirtikumar Marvaniya";"IND";"0";"12th Pass";"58";"4180000";"0";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Lalit Vasoya";"INC";" 2";"12th Pass";"57";"23284746";"509206";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Rabari Dasabhai Karabha";"IND";" 1";"8th Pass";"33";"230000";"0";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Ramani Vimalbha";"IND";"0";"8th Pass";"36";"3862399";"0";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Rank Jigneshbha";"IND";"0";"8th Pass";"27";"405000";"0";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Rathod Dayabha";"IND";"0";"12th Pass";"54";"42616";"0";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Reshma Patel";"IND";"0";"12th Pass";"34";"8765565";"0";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Riyaz Suriya";"IND";" 8";"8th Pass";"37";"410000";"0";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Sondarva Ashok";"IND";"0";"Graduate Professional";"52";"2492936";"775000";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Unadkat Prakashbha";"IND";"0";"10th Pass";"57";"2813520";"950000";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Vakil Vinzuda Ranjitbha";"Bahujan Maha Party";"0";"Graduate Professional";"60";"1493117";"0";"No";"PORBANDAR";"GUJARAT";"2019";"Lok Sabha";"No Comment"
