"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Rathod Dipsinh Shankarsinh";"BJP";"0";"8th Pass";"67";"23997443";"0";"Yes";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Jadeja Indravijaysinh";"Yuva Jan Jagriti Party";"0";"12th Pass";"35";"1245000";"0";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Kalabhai Bababhai Parma";"IND";"0";"Post Graduate";"49";"555000";"0";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Kharadi Dharmendrasingh Samsubha";"Bhartiya Tribal Party";"0";"Post Graduate";"34";"2697325";"1388000";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Lata Babubhai Nathaj";"IND";"0";"12th Pass";"57";"5425231";"535554";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Laxmishankar Madhusudan Josh";"Jan Satya Path Party";"0";"10th Pass";"65";"3450000";"0";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Luhar Hafizhus";"IND";"0";"8th Pass";"58";"440000";"0";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Mayursinh Vanrajsinh Zala";"Rashtra Vikas Zumbes Party";"0";"12th Pass";"27";"674667";"0";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Nareshkumar Rameshbhai Patel";"Bharatiya National Janta Dal";"0";"10th Pass";"29";"612000";"250000";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Patel Jayntibhai Shamjibha";"Hindusthan Nirman Dal";"0";"Graduate";"57";"3982042";"2159588";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Patel Keshavlal Gangarambha";"IND";"0";"10th Pass";"64";"2432500";"0";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Patel Kiritkumar Babarbha";"IND";"0";"Graduate";"41";"4137000";"330000";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Pathan Aiyubkhan Ajabakha";"IND";"0";"12th Pass";"54";"1986810";"124280";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Raval Rajubhai Punjabha";"IND";"0";"10th Pass";"38";"590918";"0";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Sanghani Mustakbhai Jamalbha";"IND";" 2";"10th Pass";"52";"4635500";"116000";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Solanki Maganbhai Lakhabha";"IND";" 1";"8th Pass";"53";"3280559";"500000";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Thakor Rajendrasinh";"INC";"0";"Graduate";"46";"22687227";"800000";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Vikrambhai Bahecharbhai Makwana";"Garvi Gujarat Party";"0";"12th Pass";"38";"449773";"214236";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Vinodbhai Mesariya";"BSP";"0";"Graduate";"62";"4420062";"300000";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
"Zala Dalpatsinh Motisinh";"IND";"0";"8th Pass";"55";"1827000";"0";"No";"SABARKANTHA";"GUJARAT";"2019";"Lok Sabha";"No Comment"
