"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dharambir Singh";"BJP";"0";"Graduate";"64";"60642205";"240000";"Yes";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Balwan Singh";"INLD";" 2";"12th Pass";"37";"4094534";"1600000";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Bhai Surender Dhanak";"Bhartiya Janraj Party";"0";"10th Pass";"29";"837000";"710000";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Dharambir Singh S/0 Fateh Singh";"IND";"0";"Post Graduate";"49";"4640509";"0";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Happy Singh";"IND";"0";"Illiterate";"28";"383000";"0";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Jagat Singh";"IND";"0";"10th Pass";"65";"6180405";"0";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Kundan Kuma";"RPI";"0";"10th Pass";"56";"478612";"400000";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Lalit";"IND";"0";"Graduate Professional";"36";"2026000";"0";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Mohd. Irfa";"Bharat Prabhat Party";"0";"Graduate Professional";"41";"11371062";"0";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Om Parkash";"SUCI(C)";"0";"Graduate Professional";"54";"431718";"0";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Rajnish Kuma";"IND";"0";"Post Graduate";"37";"7714944";"215000";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Ram Kisha";"IND";"0";"10th Pass";"58";"29912701";"412000";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Ramesh Rao Pilot";"Loktanter Suraksha Party";"0";"Graduate Professional";"46";"91465000";"14367975";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Salesh Kuma";"Pragatishil Samajwadi Party (Lohia)";" 1";"8th Pass";"45";"1966255";"0";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Satb";"Aapki Apni Party (Peoples)";"0";"10th Pass";"44";"336000";"0";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Satya Pal";"IND";"0";"Graduate Professional";"0";"24580075";"107400";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Shruti Choudhry";"INC";"0";"Graduate Professional";"43";"1016118000";"151084000";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Sudhir Kuma";"IND";"0";"Graduate Professional";"32";"7757684";"2918666";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Suresh Chand";"IND";"0";"5th Pass";"65";"1219500";"60000";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Swati Yadav";"Jannayak Janta Party";"0";"Post Graduate";"30";"91521178";"45967727";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Vinod Kuma";"IND";"0";"Graduate";"40";"648774";"80000";"No";"BHIWANI MAHENDRAGARH";"HARYANA";"2019";"Lok Sabha";"No Comment"
