"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Krishan Pal";"BJP";"0";"Graduate Professional";"62";"369652786";"105593242";"Yes";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Amit Singh Patel";"IND";"0";"Graduate";"33";"856564";"0";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Avtar Singh Bhadana";"INC";" 1";"8th Pass";"62";"120803457";"0";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Balwant Kataria";"IND";" 7";"12th Pass";"34";"1196600";"0";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Baudhycharya Khajan Isngh Gautam";"RPI";"0";"10th Pass";"46";"392157";"0";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"C A Shukla";"IND";"0";"Graduate";"57";"1345000";"0";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Daya Chand";"Bhartiya Shakti Chetna Party";"0";"12th Pass";"68";"705000";"360000";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Deepak Gau";"AARAKSHAN VIRODHI PARTY";" 1";"12th Pass";"40";"14765000";"850000";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Hari Chand";"Peoples Party of India (Democratic)";"0";"Graduate";"62";"4579000";"0";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Hari Shankar Rajvans";"Adim Bhartiya Dal";"0";"Graduate Professional";"42";"1163364";"290000";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"K P Singh";"IND";"0";"Graduate Professional";"60";"19195000";"0";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Lekha Ram Dabang";"Bahujan Mukti Party";"0";"10th Pass";"50";"1779000";"650000";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Mahender Singh Chauha";"INLD";"0";"10th Pass";"66";"69662663";"1551000";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Mahesh Pratap Sharma";"Rashtriya Vikas Party";"0";"Others";"63";"28986240";"0";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Mandhir Maa";"BSP";"0";"10th Pass";"43";"69370850";"2600000";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Manoj";"IND";"0";"Post Graduate";"48";"26536601";"1447929";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Mukesh Kumar Singh";"Lokpriya Samaj Party";"0";"12th Pass";"43";"2640084";"0";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Navin Jaihind";"AAP";" 4";"Doctorate";"37";"645550";"0";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Pradeep Kuma";"Tola Party";"0";"Post Graduate";"28";"7800000";"5600000";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Rakesh Kuma";"Aapki Apni Party (Peoples)";"0";"10th Pass";"36";"164500";"100000";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Ram Kishan Gola";"AIFB";"0";"Others";"44";"25582047";"2975000";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Ruby";"Hind Congress Party";"0";"8th Pass";"36";"250000";"0";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Sahiram Rawat";"Voters Party";" 1";"8th Pass";"50";"60124564";"1808888";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Sanjay Maurya";"IND";"0";"8th Pass";"45";"364174";"0";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Shyamv";"Rashtriya Lokswaraj Party";"0";"Graduate Professional";"39";"7352013";"650000";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Tika Ram";"IND";"0";"Graduate Professional";"43";"43916830";"300000";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Vijender Kumar Kasana";"Bhartiya Kisan Party";"0";"Post Graduate";"53";"26770000";"379000";"No";"FARIDABAD";"HARYANA";"2019";"Lok Sabha";"No Comment"
