"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Arvind Kumar Sharma";"BJP";"0";"Post Graduate";"56";"41079284";"16778090";"Yes";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Ashok Kuma";"IND";"0";"12th Pass";"34";"3887828";"0";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Deepender Singh";"INC";"0";"Post Graduate";"41";"447255719";"21846800";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Dharamv";"INLD";"0";"10th Pass";"54";"19240828";"1500000";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Imra";"Bharat Prabhat Party";"0";"12th Pass";"38";"4370000";"0";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Inderjeet";"IND";" 2";"Post Graduate";"32";"35000";"0";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Jai Kara";"SUCI(C)";"0";"Post Graduate";"73";"16019515";"0";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Kishan Lal";"BSP";"0";"5th Pass";"51";"10638347";"0";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Krisha";"IND";"0";"12th Pass";"33";"8943666";"275000";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Manju Dev";"Pragatishil Samajwadi Party (Lohia)";"0";"8th Pass";"34";"1720000";"49000";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Parveen Kuma";"IND";"0";"Post Graduate";"35";"885000";"0";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Pradeep Kumar Deswal";"Jannayak Janta Party";" 3";"Post Graduate";"32";"5150821";"0";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Rajb";"Aapki Apni Party (Peoples)";"0";"Graduate";"26";"3785000";"0";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Ram Kishan Sa";"IND";"0";"10th Pass";"55";"34430000";"1050000";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Ramb";"IND";"0";"12th Pass";"27";"353565";"0";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Satyavir Singh";"IND";"0";"Graduate Professional";"43";"3674081";"0";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Sukhb";"Dalit Soshit Pichhara Varg Adhikar Dal";"0";"8th Pass";"41";"319887";"90000";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
"Vinay";"IND";"0";"Graduate Professional";"37";"9984989";"786068";"No";"ROHTAK";"HARYANA";"2019";"Lok Sabha";"No Comment"
