"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Chandra Prakash Choudhary";"AJSU Party";" 2";"Graduate";"50";"13456889";"1330000";"Yes";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Ahmad Ansa";"Bhartiya Lokmat Rashtrwadi Party";"0";"Literate";"57";"290000";"0";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Amit Ja";"Uttar Pradesh Navnirman Sena";" 9";"Graduate Professional";"38";"6800000";"1600000";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Chandra Deo Prasad";"Aihra National Party";"0";"Post Graduate";"37";"2102000";"0";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Dwaraka Prasad Lala";"RPI(A)";" 1";"10th Pass";"68";"9641678";"403300";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Jagarnath Mahto";"JMM";" 3";"10th Pass";"52";"19570591";"8156343";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Jogeshwar Thaku";"Vishva SHakti Party";" 1";"Graduate";"41";"4258200";"0";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Madhu Suda";"Jharkhand Party (Secular)";"0";"10th Pass";"63";"8655000";"1000000";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Rajendra Dasaundh";"IND";"0";"Graduate";"47";"657329";"0";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Rasul Baksh";"BSP";" 1";"Literate";"64";"16481200";"0";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Sanjeev Kumar Mahato";"IND";"0";"12th Pass";"39";"1830883";"0";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Shibu Singh";"Bhartiya Manavadhikaar Federal Party";"0";"Graduate";"46";"1698452";"0";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Simmi Suma";"IND";"0";"Post Graduate";"32";"10555000";"5700000";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Sohrab Shah";"Bahujan Mukti Party";"0";"Literate";"56";"60000";"0";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Sunita Tudu";"IND";"0";"Graduate Professional";"32";"16688140";"1100000";"No";"GIRIDIH";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
