"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Annapurna Devi";"BJP";"0";"Post Graduate";"50";"97636939";"3189066";"Yes";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Ajay Krishna";"Rashtriya Jansangharsh Swaraj Party";" 2";"12th Pass";"50";"6398000";"0";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Avadhesh Kumar Singh";"Vishva SHakti Party";"0";"Graduate Professional";"46";"1896800";"0";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Babu Lal Marand";"Jharkhand Vikas Morcha (Prajatantrik)";" 10";"Graduate";"61";"10951372";"0";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Bayas Kuma";"Moolniwasi Samaj Party";" 1";"Graduate";"28";"1156819";"50000";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Dayanand Kuma";"Janata Congress";"0";"12th Pass";"39";"2312284";"400000";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Kanchan Kuma";"AITC";"0";"Graduate";"28";"5290000";"1200000";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Md Mahboob Alam";"IND";"0";"Literate";"52";"1887000";"45000";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Pradip Tu";"IND";"0";"8th Pass";"37";"1635648";"0";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Raj Kumar Yadav";"CPI(ML)(L)";" 4";"10th Pass";"46";"14941593";"3514000";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Rameshwar Pd Yadav";"IND";"0";"Post Graduate";"44";"1342200";"67000";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Sarfaraj Ahmad";"BSP";" 1";"12th Pass";"31";"2538727";"1100000";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Shivnath Saw";"AIFB";"0";"10th Pass";"33";"3318988";"0";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
"Tuklal Nayak";"Hindusthan Nirman Dal";"0";"Post Graduate";"58";"2497500";"0";"No";"KODARMA";"JHARKHAND";"2019";"Lok Sabha";"No Comment"
