"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"D.V. Sadananda Gowda";"BJP";"0";"Graduate Professional";"66";"209384539";"104302653";"Yes";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Abdul Azeez";"Karnataka Pragnyavantha Janatha Party";"0";"8th Pass";"46";"622054";"58000";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Abdul Bash";"IND";"0";"10th Pass";"71";"1350000";"10132000";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Abdul Karim Hashimpeer Desa";"IND";"0";"Post Graduate";"61";"16599316";"12400000";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Ahmed Kha";"Bahujan Maha Party";"0";"10th Pass";"33";"7139";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Amirtha Jai Kumar Essac Yesaiah";"Karnataka Karmikara Paksha";"0";"Others";"43";"213000";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"C. Ravi Kuma";"IND";"0";"5th Pass";"50";"0";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Dr. Meer Layaq Hussa";"IND";"0";"Graduate Professional";"58";"20000";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"K.N. Jagadesh Kuma";"IND";" 1";"Post Graduate";"41";"66824637";"661000";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Krishna Byregowda";"INC";"0";"Post Graduate";"46";"132509044";"15596951";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Krishna Murthy V .";"Right to Recall Party";"0";"Graduate Professional";"39";"6124000";"80000";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Krishnaiah";"IND";" 1";"8th Pass";"45";"722500";"25000";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Kumar L.";"Bharatiya Prajagala Kalyana Paksha";"0";"10th Pass";"54";"7916090";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"L. Nagaraj";"IND";"0";"Others";"62";"21470000";"30000";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"N. Narayana Swamy Navakot";"Jai Vijaya Bharathi Party";"0";"10th Pass";"52";"5468000";"410000";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"N.Hanume Gowda";"IND";" 2";"12th Pass";"56";"9052030";"1242906";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Parameshwar Gowda";"IND";"0";"Graduate";"43";"300000";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Prasanna Kumar Iyenga";"IND";"0";"Post Graduate";"43";"10115799";"5557000";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Santhosh M.";"Uttama Prajaakeeya Party";" 1";"Graduate Professional";"33";"1401411";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Shiva Manjesh K.S.";"IND";"0";"Graduate Professional";"27";"20620000";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Sumatha K.S.";"IND";"0";"Graduate";"35";"21396307";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Sun Star D.Jairam";"Gareeb Aadmi Party";"0";"Others";"65";"2130000";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Syed Hydri Babloo";"BSP";"0";"Graduate";"48";"200512";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Thimmaraj Gowda (Shenganadu)";"IND";"0";"8th Pass";"43";"17249678";"1200000";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Tulasappa K Dasa";"IND";"0";"Post Graduate";"50";"3080000";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Umesh Babu Pillegowda";"IND";"0";"Post Graduate";"31";"864407";"550000";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"V. Venkataraju";"IND";"0";"8th Pass";"44";"428000";"50000";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Venkatesa Setty";"IND";"0";"Graduate";"74";"330000";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Venu M.";"IND";"0";"Illiterate";"39";"860000";"0";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Vinay Kumar V.Nayak";"IND";"0";"Post Graduate";"32";"180572";"117945";"No";"BANGALORE NORTH";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
