"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"V Srinivas Prasad";"BJP";"0";"Post Graduate";"71";"143804441";"324909";"Yes";"CHAMARAJANAGAR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Anand Jivan Ram";"IND";"0";"10th Pass";"33";"50000";"0";"No";"CHAMARAJANAGAR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Dr Shivakumara";"BSP";"0";"Doctorate";"42";"16580750";"11600000";"No";"CHAMARAJANAGAR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"G.D. Rajagopal";"IND";"0";"10th Pass";"49";"23000";"0";"No";"CHAMARAJANAGAR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Hanur Nagaraju";"Uttama Prajaakeeya Party";"0";"Post Graduate";"49";"550100";"98000";"No";"CHAMARAJANAGAR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"M Pradeep Kuma";"IND";"0";"12th Pass";"33";"165000";"0";"No";"CHAMARAJANAGAR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"N Ambarish";"IND";"0";"12th Pass";"32";"105000";"100000";"No";"CHAMARAJANAGAR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Prasanna Kumar B";"Karnataka Praja Party (RaithaParva)";"0";"Graduate Professional";"30";"1556524";"192544";"No";"CHAMARAJANAGAR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"R Dhruvanarayana";"INC";"0";"Post Graduate";"58";"92418254";"2190481";"No";"CHAMARAJANAGAR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Subbaiah";"Indian New Congress Party";"0";"12th Pass";"50";"37000";"0";"No";"CHAMARAJANAGAR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
