"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Nalin Kumar Kateel";"BJP";" 4";"10th Pass";"52";"14678300";"4450945";"Yes";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Abdul Hameed";"IND";"0";"5th Pass";"42";"668000";"0";"No";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Alexand";"IND";" 1";"Graduate";"61";"30510500";"850000";"No";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Deepak Rajesh Coelho";"IND";"0";"12th Pass";"43";"4415000";"0";"No";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"H. Suresh Poojary";"IND";"0";"5th Pass";"47";"277000";"0";"No";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Maxim Pinto";"IND";"0";"10th Pass";"55";"24860000";"15780000";"No";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Mithun M Ra";"INC";" 1";"Graduate";"34";"32963608";"14804098";"No";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Mohammad Khalid";"IND";"0";"Illiterate";"46";"150500";"0";"No";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Mohammed Eliyas";"SDPI";" 1";"12th Pass";"57";"501640";"0";"No";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"S. Sathish Saliya";"BSP";"0";"12th Pass";"53";"2081489";"1410607";"No";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Supreeth Kumar Poojary";"Hindustan Janta Party";"0";"10th Pass";"43";"2038000";"142150";"No";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Venkatesh Bend";"IND";"0";"Graduate";"47";"205000";"125000";"No";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Vijay Shreenivas C";"Uttama Prajaakeeya Party";"0";"8th Pass";"47";"977230";"570000";"No";"DAKSHINA KANNADA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
