"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"B.Y.Raghavendra";"BJP";" 2";"Graduate Professional";"46";"674093851";"14150647";"Yes";"SHIMOGA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Guddappa";"BSP";" 1";"5th Pass";"55";"3100000";"150000";"No";"SHIMOGA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"K.C.Vinay Rajavath";"IND";"0";"Graduate";"26";"1855573";"600000";"No";"SHIMOGA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Krishna K";"Pyramid Party of India";" 2";"8th Pass";"39";"121961";"0";"No";"SHIMOGA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Mohammed Yusuf Kha";"IND";"0";"5th Pass";"51";"1540000";"237000";"No";"SHIMOGA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"N.T.Vijayakuma";"IND";"0";"10th Pass";"55";"110000";"0";"No";"SHIMOGA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"S.Madhubangarappa";"JD(S)";" 1";"Graduate";"52";"615887761";"170909000";"No";"SHIMOGA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"S.Umesha Varma";"IND";"0";"12th Pass";"63";"2960000";"0";"No";"SHIMOGA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"S.Umeshappa";"IND";"0";"8th Pass";"56";"705000";"0";"No";"SHIMOGA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Shashikumar S.Gowda";"IND";"0";"10th Pass";"37";"135000";"0";"No";"SHIMOGA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Shekara Naik";"IND";"0";"Graduate";"63";"40409500";"3112000";"No";"SHIMOGA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Venkatesh R";"Uttama Prajaakeeya Party";"0";"10th Pass";"31";"2493000";"0";"No";"SHIMOGA";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
