"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"G S Basavaraj";"BJP";"0";"Graduate Professional";"78";"510779150";"113844867";"Yes";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"B. S. Mallikarjunaiah";"IND";" 1";"Others";"45";"15351735";"1500000";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Chaya Rajashanka";"Uttama Prajaakeeya Party";"0";"Graduate";"50";"37939797";"0";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"D Sharadhishayana";"IND";"0";"Graduate Professional";"67";"1600000";"0";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"G Nagendra";"IND";"0";"10th Pass";"44";"459000";"0";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"H. D. Devegowda";"JD(S)";"0";"Others";"86";"60084453";"9798283";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"J. K. Sam";"IND";" 1";"5th Pass";"52";"31000";"0";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"K V Srinivas Kalk";"IND";"0";"Graduate";"44";"325800";"189000";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"K. C. Hanumantharaya";"BSP";"0";"Post Graduate";"64";"35028248";"0";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Kapanigowda";"IND";"0";"Graduate Professional";"64";"1350000";"0";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Mahalakshmi C. P.";"Ambedkar Samaj Party";"0";"Post Graduate";"32";"20000";"0";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"N Shivanna";"CPI";"0";"Others";"74";"985119";"0";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Prakash. R. A. Ja";"IND";"0";"Graduate Professional";"51";"48640000";"0";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Siddaramegowda T. B.";"IND";"0";"Graduate";"52";"6301000";"1605000";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"T. N. Kumara Swamy";"IND";"0";"8th Pass";"56";"579565";"0";"No";"TUMKUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
