"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Shobha Karandlaje";"BJP";" 3";"Post Graduate";"52";"104872668";"49936840";"Yes";"UDUPI CHIKMAGALUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Abdul Rahma";"IND";"0";"8th Pass";"34";"334000";"1840000";"No";"UDUPI CHIKMAGALUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Amrith Shenoy P";"IND";" 1";"Post Graduate";"41";"284900000";"3425000";"No";"UDUPI CHIKMAGALUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Comrade Vijaykuma";"CPI(ML) Red Star";"0";"10th Pass";"45";"529000";"0";"No";"UDUPI CHIKMAGALUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"K.C. Prakash";"IND";"0";"10th Pass";"54";"3290000";"0";"No";"UDUPI CHIKMAGALUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"M.K Dayananda";"Proutist Sarva Samaj";"0";"Graduate";"69";"31315500";"1300000";"No";"UDUPI CHIKMAGALUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Maggalamakki Ganesh";"IND";"0";"12th Pass";"56";"4306246";"1674000";"No";"UDUPI CHIKMAGALUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"P. Goutham Prabhu";"SHS";"0";"10th Pass";"31";"2408385";"700000";"No";"UDUPI CHIKMAGALUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"P. Parameshwara";"BSP";" 1";"Graduate Professional";"43";"4994000";"0";"No";"UDUPI CHIKMAGALUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Pramod Madhwaraj";"JD(S)";" 1";"12th Pass";"50";"990739778";"21813972";"No";"UDUPI CHIKMAGALUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Shekar Havanj";"Republican Party of India (Karnataka)";" 3";"10th Pass";"0";"1265000";"100000";"No";"UDUPI CHIKMAGALUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
"Suresh Kund";"Uttama Prajaakeeya Party";"0";"12th Pass";"64";"4677035";"2600000";"No";"UDUPI CHIKMAGALUR";"KARNATAKA";"2019";"Lok Sabha";"No Comment"
