"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"A M Ariff";"CPI(M)";" 2";"Graduate Professional";"54";"15268906";"2220700";"Yes";"ALAPPUZHA";"KERALA";"2019";"Lok Sabha";"No Comment"
"Akhilesh";"Ambedkarite Party of India";"0";"12th Pass";"38";"106000";"0";"No";"ALAPPUZHA";"KERALA";"2019";"Lok Sabha";"No Comment"
"Parthasarathy Varma";"SUCI(C)";"0";"Others";"51";"1208704";"0";"No";"ALAPPUZHA";"KERALA";"2019";"Lok Sabha";"No Comment"
"Prasanth";"BSP";" 2";"Graduate";"33";"20360";"0";"No";"ALAPPUZHA";"KERALA";"2019";"Lok Sabha";"No Comment"
"Radhakrishna";"BJP";" 1";"Doctorate";"64";"16484722";"0";"No";"ALAPPUZHA";"KERALA";"2019";"Lok Sabha";"No Comment"
"Rajeeva";"IND";"0";"12th Pass";"46";"873152";"0";"No";"ALAPPUZHA";"KERALA";"2019";"Lok Sabha";"No Comment"
"Santhosh";"IND";"0";"10th Pass";"46";"1022408";"25000";"No";"ALAPPUZHA";"KERALA";"2019";"Lok Sabha";"No Comment"
"Satheesh Shenoy";"IND";"0";"Others";"37";"133968000";"27689000";"No";"ALAPPUZHA";"KERALA";"2019";"Lok Sabha";"No Comment"
"Shan K S";"SDPI";" 2";"Graduate Professional";"36";"6497803";"925236";"No";"ALAPPUZHA";"KERALA";"2019";"Lok Sabha";"No Comment"
"Shanimol";"INC";"0";"Post Graduate";"52";"18665943";"825000";"No";"ALAPPUZHA";"KERALA";"2019";"Lok Sabha";"No Comment"
"Thah";"IND";"0";"10th Pass";"36";"360000";"0";"No";"ALAPPUZHA";"KERALA";"2019";"Lok Sabha";"No Comment"
"Varkala Raj";"Peoples Democratic Party";"0";"12th Pass";"59";"1576000";"0";"No";"ALAPPUZHA";"KERALA";"2019";"Lok Sabha";"No Comment"
