"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Hibi Eden";"INC";" 7";"Graduate";"35";"7908467";"200000";"Yes";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Abdul Khad";"Samajwadi Forward Bloc";"0";"8th Pass";"59";"3497836";"0";"No";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Alphons Kannanthanam";"BJP";" 1";"Graduate";"65";"115836275";"0";"No";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Aswathi Rajappa";"IND";"0";"Graduate";"25";"2026";"0";"No";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Kuma";"IND";"0";"8th Pass";"64";"6006488";"0";"No";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Laila Rasheed";"IND";"0";"10th Pass";"49";"3125000";"0";"No";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Niamathulla";"BSP";"0";"Graduate";"53";"14986063";"2100000";"No";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"P Rajeev";"CPI(M)";" 6";"Graduate Professional";"51";"48174090";"1629133";"No";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Rajeev Naga";"Ambedkarite Party of India";"0";"10th Pass";"50";"870000";"300000";"No";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Shajahan Abdulkhada";"CPI(ML) Red Star";"0";"10th Pass";"54";"1672500";"0";"No";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Sreedhara";"IND";"0";"10th Pass";"68";"5460200";"0";"No";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"V M Faisal";"SDPI";" 3";"10th Pass";"40";"3250000";"535000";"No";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Vivek K Vijaya";"Rashtriya Samaj Paksha";"0";"Post Graduate";"36";"3521814";"0";"No";"ERNAKULAM";"KERALA";"2019";"Lok Sabha";"No Comment"
