"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Shashi Tharoor";"INC";" 2";"Doctorate";"63";"350022585";"0";"Yes";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Binu.D";"IND";"0";"10th Pass";"42";"100000";"0";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Christopher Shaju";"IND";"0";"12th Pass";"43";"1825000";"330000";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Devadatha";"IND";"0";"10th Pass";"70";"75000";"0";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Divakaran.C";"CPI";" 1";"Graduate";"76";"9006945";"1318000";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Gopakuma";"IND";"0";"10th Pass";"44";"310533";"10500";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Jain Wilso";"IND";"0";"Graduate";"59";"100000";"0";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Johny Thampy";"IND";" 1";"12th Pass";"54";"30000";"0";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Kirankumar.S.K";"BSP";"0";"12th Pass";"36";"1993880";"595000";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Kummanam Rajasekhara";"BJP";" 2";"Graduate";"66";"1105732";"0";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Mini S";"SUCI(C)";" 1";"12th Pass";"44";"125235";"0";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Mithra Kumar G";"IND";"0";"Post Graduate";"58";"2752500";"0";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"P Keralavarmaraja";"Pravasi Nivasi Party";"0";"Graduate";"77";"6300000";"0";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"S Suseela";"IND";" 1";"8th Pass";"66";"300000";"0";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Sasi T";"IND";"0";"Graduate";"72";"1660184";"368753";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Sub";"IND";"0";"10th Pass";"34";"351000";"300000";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
"Vishnu S Ambad";"IND";"0";"Graduate";"34";"1763500";"5970000";"No";"THIRUVANANTHAPURAM";"KERALA";"2019";"Lok Sabha";"No Comment"
