"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sandhya Ray";"BJP";"0";"Post Graduate";"45";"51108660";"13400000";"Yes";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Ashok Singh";"IND";"0";"Not Given";"27";"355000";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Babu Ram Jamo";"BSP";"0";"10th Pass";"67";"12571690";"540000";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Brikhbhan Doha";"All Indians Party";"0";"5th Pass";"26";"177000";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Devashish";"INC";"0";"Graduate Professional";"28";"746723";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Dharm Singh Bhargav";"IND";"0";"12th Pass";"53";"2459000";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Dileep Kumar Dohare (Advocat)";"Ambedkarite Party of India";" 1";"Graduate Professional";"31";"645100";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Harkisor Ko";"IND";"0";"Illiterate";"60";"200000";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Jitendra Singh";"IND";"0";"12th Pass";"31";"265000";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kishori Lal Shakya";"Bahujan Mukti Party";"0";"Post Graduate";"67";"4808000";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Madan Chhilwa";"Pragatishil Samajwadi Party (Lohia)";"0";"Literate";"45";"423175";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Manohar Lal Patwa (Lalu Kori)";"Jan Adhikar Party";" 1";"10th Pass";"30";"763000";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Omprakash Shakya";"Hindusthan Nirman Dal";" 1";"Post Graduate";"51";"2112000";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Rajesh Kumar Jatav";"IND";"0";"12th Pass";"40";"220000";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Ramnaresh Jatav";"IND";"0";"Graduate Professional";"38";"451164";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Roop Singh";"Bharat Prabhat Party";"0";"10th Pass";"41";"1726000";"0";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Umesh Garg";"IND";"0";"12th Pass";"46";"2388000";"77000";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Vijay Singh Patwa";"AIFB";"0";"10th Pass";"39";"2404200";"60000";"No";"BHIND";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
