"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sadhvi Pragya Singh Thakur";"BJP";" 1";"Post Graduate";"49";"444224";"0";"Yes";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Abdul Tahir Ansa";"Swarnim Bharat Inquilab";"0";"Graduate Professional";"45";"5137000";"1868000";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Alok Kuma";"IND";"0";"Post Graduate";"50";"29090700";"2700000";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Bal Ram Singh Toma";"Bhartiya Shakti Chetna Party";"0";"12th Pass";"30";"141845";"249550";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Bhaurao Vithoba Fulzel";"Bharat Prabhat Party";"0";"Graduate Professional";"59";"5265000";"100000";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Ca Pramod Bhojwa";"Sanatan Sanskriti Raksha Dal";"0";"Graduate";"47";"7136000";"3200000";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Deshmukh Riyazuddin Ghayasudd";"IND";"0";"Post Graduate";"60";"975150";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Devendra Prakash Mishra";"IND";" 1";"Post Graduate";"48";"55053500";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Digvijaya Singh";"INC";" 8";"Graduate Professional";"71";"380727853";"13972396";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Dr. Veena Ghanekar Rtd. Ias";"Sapaks Party";"0";"Doctorate";"63";"50730000";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Gautam Nagdava";"Ambedkarite Party of India";"0";"8th Pass";"51";"2107000";"250000";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"J.C. Bara";"SUCI(C)";"0";"12th Pass";"64";"5542223";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kamlesh Dangi Thaku";"Hindusthan Nirman Dal";" 4";"10th Pass";"39";"19894936";"267000";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Kamlesh Namdev";"IND";"0";"10th Pass";"34";"90000";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Lata Suryawansh";"Samta Vikas Party";"0";"10th Pass";"27";"20000";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Madho Singh Ahirwa";"BSP";"0";"Literate";"41";"1256186";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Mahendra Katiya";"IND";"0";"Post Graduate";"49";"847999";"375000";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Mahendra Kuma";"IND";"0";"10th Pass";"59";"6417048";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Md. Iqbal Kha";"Smart Indians Party";"0";"12th Pass";"35";"61700";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Moh. Ateek";"IND";"0";"Illiterate";"55";"131000";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Mukesh Kumar Gupta";"IND";"0";"12th Pass";"44";"26958499";"9862082";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Piyush Ja";"Right to Recall Party";"0";"Post Graduate";"30";"1240726";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Prabha Bhart";"Jai Lok Party";"0";"Others";"46";"405600";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Praveen Singh Thaku";"IND";"0";"Graduate";"26";"187000";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Priyanka Kha";"IND";"0";"10th Pass";"26";"227239";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Raj Kumar Shakya (Kori)";"Jan Adhikar Party";"0";"Post Graduate";"49";"21500";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Rajesh K";"Bahujan Mukti Party";"0";"Graduate Professional";"51";"770809";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Ramsushil Sharma";"Samagra Utthan Party";"0";"12th Pass";"46";"14726000";"1950000";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Shrimati Hemlata Pathak";"Sarvadharam Party (Madhya Pradesh)";"0";"12th Pass";"38";"2775500";"505000";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Sunil Kumar Dodeja";"IND";"0";"Post Graduate";"38";"194341";"0";"No";"BHOPAL";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
