"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Krishna Pal Singh";"BJP";"0";"Graduate Professional";"43";"16266408";"494053";"Yes";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Ajay Singh Kushwah";"IND";"0";"10th Pass";"44";"2088593";"0";"No";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Amit Kha";"Ambedkarite Party of India";"0";"Graduate Professional";"27";"130500";"0";"No";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Bhan Singh";"IND";"0";"Not Given";"40";"1547800";"0";"No";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Bhoopendra Singh Chauha";"IND";"0";"Graduate";"50";"12405433";"250000";"No";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Chandr Kumar Shrivastava (Chandu)";"IND";"0";"8th Pass";"45";"1931406";"712080";"No";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Dhakad Lokendra Singh Rajpoot";"BSP";" 3";"Post Graduate";"41";"128273308";"55970713";"No";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Harbhajan Singh Rajpoot";"Bharat Prabhat Party";"0";"Graduate Professional";"60";"251000";"0";"No";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Jyotiraditya M. Scindia";"INC";"0";"Post Graduate";"48";"3745618745";"2900000";"No";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Manish Shrivastav";"SUCI(C)";"0";"Graduate Professional";"39";"186000";"0";"No";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Omprakash";"IND";"0";"Others";"61";"23673387";"11816000";"No";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Rekha Ba";"Aajad Bharat Party (Democratic)";"0";"Graduate";"33";"270000";"0";"No";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Santosh Yadav";"Pragatishil Samajwadi Party (Lohia)";"0";"Literate";"46";"754000";"0";"No";"GUNA";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
