"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Rao Uday Pratap Singh";"BJP";" 1";"Graduate";"54";"154783105";"9103300";"Yes";"HOSHANGABAD";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Arya Ravi Pariha";"IND";"0";"8th Pass";"42";"423000";"230000";"No";"HOSHANGABAD";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Bhavanishanka";"Pragatishil Samajwadi Party (Lohia)";" 1";"5th Pass";"33";"2242000";"0";"No";"HOSHANGABAD";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Dinesh Kata";"Ambedkarite Party of India";"0";"Post Graduate";"32";"30500";"350000";"No";"HOSHANGABAD";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"M.P. Choudhary";"BSP";"0";"Post Graduate";"68";"18320269";"300000";"No";"HOSHANGABAD";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Madan Moha";"IND";"0";"Post Graduate";"43";"3051000";"0";"No";"HOSHANGABAD";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Pandit Devendra Sharma";"Sapaks Party";"0";"Graduate";"31";"32000";"0";"No";"HOSHANGABAD";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Rajesh Kumar Uikey";"Gondvana Gantantra Party";"0";"Illiterate";"43";"214500";"30000";"No";"HOSHANGABAD";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Saligram Makodiya";"IND";"0";"Post Graduate";"60";"5223740";"400000";"No";"HOSHANGABAD";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Shailendra";"IND";"0";"Graduate";"27";"113546";"0";"No";"HOSHANGABAD";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
"Shailendra Diwan Chandarbhan Singh";"INC";"0";"Graduate";"39";"15964904";"1399664";"No";"HOSHANGABAD";"MADHYA PRADESH";"2019";"Lok Sabha";"No Comment"
