,Candidate,Party,,Criminal Cases,,Education,,Age,,Total Assets,,Liabilities,,Result,constituency,state,year,election
,Gyaneshwar Patil,,BJP,, 1,,12th Pass,52,,51831369,,5747840,,Winner,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Chetan Ratho,,IND,,0,,Others,27,,131000,,150000,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Darasingh Patel Khatawas,,Bhartiya Tribal Party,,0,,8th Pass,46,,3232000,,250000,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Dr. Haresingh Gurja,,IND,,0,,Graduate Professional,46,,5636000,,0,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Gopal Singh Solank,,IND,,0,,Graduate,32,,45000,,0,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Kaiptan Bhojraj,,Peoples Party of India (Democratic),,0,,5th Pass,62,,32530,,0,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Mathura Bai Patel,,IND,,0,,8th Pass,41,,250000,,0,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Parixit Singh Chauha,,IND,,0,,12th Pass,71,,11468000,,0,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Rajnarayan Singh Pu,,INC,, 1,,8th Pass,70,,65376143,,430594,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Ramgopal Malviya,,IND,,0,,12th Pass,51,,1682592,,0,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Saiyad Rafeeq Sahab,,Vanchit Bahujan Aaghadi,,0,,10th Pass,38,,451000,,0,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Sangam,,IND,,0,,8th Pass,40,,1782000,,0,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Shekh Jak,,IND,,0,,8th Pass,50,,100000,,200000,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Vijay Babulal Salv,,IND,,0,,Graduate,50,,1481590,,1655000,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Vipin So,,IND,,0,,12th Pass,38,,899000,,60000,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
,Zahir Udd,,IND,, 4,,Graduate Professional,44,,378379,,0,,,KHANDWA : BYE ELECTION ON 30-10-2021,MADHYA PRADESH,2019,Lok Sabha
