"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Gajanan Chandrakant Kirtikar";"SHS";"0";"Graduate";"75";"105392000";"4032000";"Yes";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Abusalim Arunhuq Shank";"Rashtriya Ulama Council";"0";"10th Pass";"48";"264600";"0";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Aftab Mashwood Kha";"IND";"0";"8th Pass";"43";"8062800";"0";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Ajay Dubey";"Jan Adhikar Party";"0";"Post Graduate";"29";"576000";"70000";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Arora Surinder Moha";"Bharat Jan Aadhar Party";"0";"Graduate";"64";"336682905";"212666";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Chandrashekhar Sharma";"Bhartiya Manavadhikaar Federal Party";" 1";"Others";"42";"9403436";"0";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Chhaya Sunil Tiwa";"Janata Congress";"0";"8th Pass";"41";"9105737";"2882533";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Dharmendra Shriram Pal";"Rashtravadi Kranti Dal";"0";"10th Pass";"42";"485000";"0";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Harishankar Yadav";"Aapki Apni Party (Peoples)";"0";"10th Pass";"48";"12000";"546000";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Madan Banwarilal Agrawal";"IND";"0";"Graduate";"55";"61831318";"32000000";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Mitesh Varshney";"IND";" 1";"Post Graduate";"27";"186373";"0";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Prabhakar Tarapado Sadhu";"IND";"0";"8th Pass";"47";"52000";"0";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Sanjay Nirupam";"INC";" 11";"Graduate";"54";"122093505";"8399569";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Sanjay Vishwanath Sakpal";"IND";"0";"Graduate";"48";"70000";"0";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Shakuntala Kushalka";"Prabuddha Republican Party";"0";"Illiterate";"47";"10111000";"4500000";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Shashikant Kundlik Kadam";"IND";" 1";"Graduate Professional";"46";"18952783";"300000";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Sonkamble Gajanan Tukaram";"IND";"0";"Graduate";"33";"141658";"0";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Subhash Pass";"SP";" 1";"12th Pass";"57";"642045035";"80500000";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Suresh Sundar Shetty";"Vanchit Bahujan Aaghadi";"0";"8th Pass";"46";"95452500";"4342000";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Vijay Marothi Koyal";"Rashtriya Maratha Party";"0";"8th Pass";"49";"6525000";"500000";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Vijendra Kumar Ra";"IND";" 1";"Post Graduate";"37";"26456906";"17500000";"No";"MUMBAI NORTH WEST";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
