"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Rahul Ramesh Shewale";"SHS";"0";"Others";"47";"18881363";"7778954";"Yes";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Adv. Mahendra Tulshiram Bhingardiv";"Anti Corruption Dynamic Party";"0";"Graduate Professional";"42";"12510000";"850000";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Ahmed Shakil Sagir Ahmed Shaikh";"BSP";" 1";"5th Pass";"41";"3647388";"0";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Anita Kiran Patol";"IND";"0";"8th Pass";"39";"300000";"0";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Baddy Hemantkumar Reddy";"Bahujan Mukti Party";"0";"Graduate";"50";"12170003";"85200";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Balasaheb Jagannath Sabl";"Bhartiya Manavadhikaar Federal Party";"0";"10th Pass";"48";"606142";"80000";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Dalvi Raju Sahebrao";"IND";"0";"Graduate";"48";"223000";"51490";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Deepak Bhagoji Kambl";"Ambedkarite Party of India";"0";"10th Pass";"67";"391500";"0";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Eknath Mahadev Gaikwad";"INC";"0";"10th Pass";"79";"218952482";"25590000";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Godfrey Washington Nobl";"Desiya Makkal Sakthi Katchi";" 2";"Graduate Professional";"48";"267606000";"1800000";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Mohammad Hayat Mohammad Husain Shaikh";"Peace Party";"0";"5th Pass";"54";"1043188";"350000";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Sanjay Sushil Bhosal";"Vanchit Bahujan Aaghadi";" 3";"Graduate Professional";"51";"1250624308";"237660077";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Santosh Shrivastav";"IND";"0";"10th Pass";"37";"207000";"0";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Sheetal Bharat Sasa";"IND";"0";"8th Pass";"34";"501700";"0";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Vikas Maruti Rokad";"IND";"0";"5th Pass";"53";"11000";"0";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Yoganand Nada";"Aapki Apni Party (Peoples)";"0";"Graduate";"34";"528996";"180000";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Yogesh Vitthal Mo";"Bahujan Republican Socialist Party";"0";"Graduate Professional";"38";"10612636";"157000";"No";"MUMBAI SOUTH CENTRAL";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
