"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Heena Vijaykumar Gavit";"BJP";"0";"Post Graduate";"31";"271634532";"15291251";"Yes";"NANDURBAR";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Adv. K. C. Padav";"INC";"0";"Post Graduate";"61";"45236068";"3237933";"No";"NANDURBAR";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Ajay Karamsing Gavit";"IND";"0";"12th Pass";"25";"78340";"0";"No";"NANDURBAR";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Anturlikar Sushil Suresh";"Vanchit Bahujan Aaghadi";"0";"Post Graduate";"33";"7030314";"3500000";"No";"NANDURBAR";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Arjunsing Diwansing Vasav";"IND";"0";"Graduate";"54";"1651102";"0";"No";"NANDURBAR";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Ashok Daulatsing Padv";"IND";"0";"10th Pass";"42";"1692000";"300000";"No";"NANDURBAR";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Dr. Natawadkar Suhas Jayant";"IND";"0";"Graduate Professional";"58";"42504576";"5933112";"No";"NANDURBAR";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Koli Ananda Sukalal";"IND";" 2";"8th Pass";"52";"204757";"2177500";"No";"NANDURBAR";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Krishna Thoga Gavit";"Bhartiya Tribal Party";"0";"12th Pass";"57";"5295000";"4900000";"No";"NANDURBAR";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Rekha Suresh Desa";"BSP";"0";"12th Pass";"29";"741000";"0";"No";"NANDURBAR";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Sandip Abhimanyu Valv";"Bahujan Mukti Party";"0";"Graduate";"42";"81625";"0";"No";"NANDURBAR";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
