"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Girish Bhalchandra Bapat";"BJP";" 1";"Graduate";"68";"57959302";"1793891";"Yes";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Adv. Kumar Devba Kalel Patil";"IND";"0";"Graduate Professional";"38";"306000";"432900";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Adv. Mahesh Gajendragadka";"Swarna Bharat Party";"0";"Post Graduate";"57";"16457070";"94000";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Adv. Ramesh Devaram Dharmavat";"People’s Union Party";"0";"Graduate Professional";"37";"237825757";"0";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Amol Alias Yabes S. Tuja";"IND";" 3";"12th Pass";"34";"25000";"0";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Amol Jayraj Shind";"Hum Bhartiya Party";"0";"Post Graduate";"32";"390000";"0";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Anand Prakash Vanjap";"IND";"0";"Others";"43";"2297000";"2100000";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Balasaheb Misal Patil";"Bahujan Mukti Party";"0";"Graduate";"44";"1925349";"80000";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Chandrakant Parmeshwar Sawant";"IND";"0";"12th Pass";"46";"5886000";"4391625";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Chincholikar Jayant Eknath";"Bahujan Republican Socialist Party";" 1";"10th Pass";"52";"74019";"0";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Hemant Baburao Kolekar Patil Alias Hemant Patil";"IND";" 1";"8th Pass";"48";"50595000";"900000";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Jadhav Anil Naraya";"Vanchit Bahujan Aaghadi";" 1";"12th Pass";"35";"18703428";"0";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Jafar Khursid Choudha";"IND";"0";"5th Pass";"58";"215000";"400000";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Javed Shabbir Sayyed";"IND";"0";"8th Pass";"43";"100000";"0";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Johnson Vasant Kolhapu";"IND";"0";"8th Pass";"49";"207";"0";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Krupal Paluska";"Prabuddha Republican Party";"0";"Post Graduate";"33";"552000";"0";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Kshirsagar Kanchan Devdas";"IND";"0";"Graduate";"48";"1355000";"0";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Mohan Ramkisan Josh";"INC";" 6";"10th Pass";"63";"67624702";"35212523";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Nikhil Umesh Zingad";"Bharatiya Praja Surajya Paksha";"0";"Post Graduate";"33";"2750000";"2300000";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Prof. Nalawade Hanmant Mahadeo";"Ambedkarite Party of India";"0";"Post Graduate";"49";"4700000";"3100000";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Rahul Vishwas Josh";"IND";"0";"Graduate";"42";"11680000";"2300000";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Rajesh Surendrakumar Agarwal";"Hamari Apni Party";" 1";"Graduate Professional";"48";"42151794";"2851036";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Rakesh Prabhakar Chava";"IND";"0";"8th Pass";"45";"20608100";"600000";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Ravindra Bansiram Mahapu";"IND";"0";"Literate";"52";"0";"0";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Sanjay Baburao Jadhav";"IND";"0";"10th Pass";"47";"2215000";"165000";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Sayyad Raj Faiyaz";"Bhartiya Kisan Party";"0";"Graduate";"42";"5200000";"3650000";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Sim Khirid";"Bahujan Maha Party";"0";"Post Graduate";"45";"34464531";"5665918";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Suhas Popat Gajarmal";"Rashtriya Janshakti Party (Secular)";"0";"12th Pass";"33";"771";"22000";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Uttam Pandurang Shind";"BSP";" 1";"Graduate";"52";"245310000";"0";"No";"PUNE";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
