"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Tatkare Sunil Dattatray";"NCP";"0";"Others";"64";"127487277";"3221073";"Yes";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Anant Gangaram Geet";"SHS";"0";"10th Pass";"67";"54422110";"21341268";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Avinash Vasant Patil";"IND";"0";"5th Pass";"53";"4000";"0";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Gajendra Parshuram Turbadka";"Kranti Kari Jai Hind Sena";"0";"12th Pass";"50";"91698";"100000";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Ghag Sanjay Arju";"IND";" 3";"10th Pass";"47";"21864480";"3550000";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Madhukar Mahadev Khamka";"IND";"0";"10th Pass";"42";"1938900";"0";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Milind Bhaguram Salv";"BSP";" 2";"8th Pass";"61";"3960000";"0";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Munafar Jainubhidin Choudhary";"IND";"0";"5th Pass";"44";"1095000";"500000";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Nathuram Bhaguram Hat";"Bahujan Mukti Party";"0";"10th Pass";"58";"9146178";"840000";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Prakash Sakharam Kalk";"Bhartiya Kisan Party";"0";"Post Graduate";"34";"3785816";"0";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Subhash Janardan Patil";"IND";"0";"10th Pass";"50";"2862500";"0";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Suman Bhaskar Kol";"Vanchit Bahujan Aaghadi";"0";"5th Pass";"61";"11042707";"519330";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Sunil Pandurang Tatka";"IND";"0";"8th Pass";"43";"100909";"0";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Sunil Sakharam Tatka";"IND";"0";"8th Pass";"43";"1032988";"266000";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Yogesh Kadam";"IND";"0";"12th Pass";"29";"36900";"0";"No";"RAIGAD";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
