"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Khadse Raksha Nikhil";"BJP";"0";"Graduate";"31";"172713734";"0";"Yes";"RAVER";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Adakmol Rohidas Ramesh";"Ambedkarite Party of India";"0";"12th Pass";"41";"226000";"0";"No";"RAVER";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Ajit Namdar Tadv";"Rastriya Aam Jan Seva Party";"0";"8th Pass";"31";"15000";"0";"No";"RAVER";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"D. D. Wani [Photographer]";"IND";"0";"10th Pass";"58";"569000";"25000";"No";"RAVER";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Dr.Ulhas Vasudeo Patil";"INC";" 1";"Post Graduate";"59";"198503281";"4508413";"No";"RAVER";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Gaurav Damodar Surwad";"IND";"0";"10th Pass";"35";"105000";"0";"No";"RAVER";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Madhukar Sopan Patil";"Hindustan Janta Party";"0";"Graduate";"70";"50000";"0";"No";"RAVER";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Nazmin Shaikh Ramja";"IND";"0";"8th Pass";"33";"0";"0";"No";"RAVER";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Nitin Pralhad Kandelka";"Vanchit Bahujan Aaghadi";"0";"12th Pass";"39";"8901000";"4450000";"No";"RAVER";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Roshan Aara Sadique Al";"IUML";"0";"12th Pass";"37";"1626675";"958112";"No";"RAVER";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Tawar Vijay Jaga";"IND";"0";"10th Pass";"42";"0";"0";"No";"RAVER";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
"Yogendra Viththal Kolat";"BSP";" 1";"Doctorate";"41";"6440000";"2300000";"No";"RAVER";"MAHARASHTRA";"2019";"Lok Sabha";"No Comment"
