"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Harsh Vardhan";"BJP";"0";"Post Graduate";"64";"30171897";"0";"Yes";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Anil Kuma";"Rashtriya Rashtrawadi Party";"0";"Graduate";"37";"2125449";"125000";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Ashok Kuma";"RPI(A)";"0";"10th Pass";"67";"21000000";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Deepti Chopra";"PRISM Party";"0";"Graduate";"52";"13315170";"1017000";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Dheer Singh";"Rashtriya Jansambhavna Party";"0";"Graduate";"36";"20000";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Farhadeeba";"IND";"0";"10th Pass";"38";"277000";"250000";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Inder S";"Rashtriya Samrasta Party";"0";"10th Pass";"36";"4500001";"50368";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Jai Prakash Agarwal";"INC";"0";"Graduate";"74";"96159175";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Jugal Kisho";"IND";"0";"Graduate";"47";"7676788";"314000";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Kamal Kisho";"Peoples Party of India (Democratic)";"0";"Graduate";"67";"8550331";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Mohd. Irfan Javed Quresh";"Ekta Samaj Party";" 2";"Graduate";"57";"350000";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Munna Lal";"IND";"0";"10th Pass";"37";"274389";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Pankaj Gupta";"IND";"0";"10th Pass";"57";"2597720";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Pankaj Kumar Gupta";"AAP";"0";"Graduate Professional";"52";"204351194";"737055";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Ravi Kuma";"IND";"0";"Graduate";"33";"2471300";"241028";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Ravindra";"Kanshiram Bahujan Dal";"0";"8th Pass";"43";"6443204";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Sameer Mirza";"Bharat Prabhat Party";"0";"12th Pass";"29";"660200";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Satdev Ja";"Proutist Bloc, India";"0";"10th Pass";"53";"5523884";"579000";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Saurabh Ranja";"Pyramid Party of India";"0";"Graduate Professional";"33";"312000";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Shahid Al";"BSP";"0";"Graduate Professional";"46";"30825000";"4173296";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Sharestha Arora";"Mazdoor Kirayedar Vikas Party";"0";"12th Pass";"42";"1931500";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Sohan Lal Sharma";"Rashtra Nirman Party";"0";"Graduate Professional";"78";"25440";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Suman Dev";"Bharat Lok Sewak Party";"0";"Graduate";"53";"130000";"0";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Virender Pratap Singh";"Aapki Apni Party (Peoples)";"0";"5th Pass";"38";"4869811";"934097";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
"Vishal Khanna";"Sanatan Sanskriti Raksha Dal";" 1";"10th Pass";"37";"3810000";"271500";"No";"CHANDNI CHOWK";"NATIONAL CAPITAL TERRITORY OF DELHI";"2019";"Lok Sabha";"No Comment"
