"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Pratap Chandra Sarangi";"BJP";" 7";"Graduate";"64";"1346236";"160";"Yes";"BALASORE";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Basantalata Pattanayak";"IND";"0";"Post Graduate";"66";"4650633";"0";"No";"BALASORE";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Haji Sk Abdul Ista";"AITC";"0";"Graduate Professional";"51";"2521000";"0";"No";"BALASORE";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Jadunath Seth";"IND";"0";"Graduate";"47";"3071295";"0";"No";"BALASORE";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Jagannath Das";"IND";"0";"Graduate";"44";"1154900";"0";"No";"BALASORE";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Mohammed All";"Ambedkar National Congress";"0";"Graduate";"54";"21321310";"0";"No";"BALASORE";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Navajyoti Patnaik";"INC";"0";"Graduate Professional";"46";"1042005000";"1079582000";"No";"BALASORE";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Rabindra Kumar Jena";"BJD";"0";"Others";"51";"726151097";"63341667";"No";"BALASORE";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Ramakanta Panda";"Purvanchal Janta Party (Secular)";"0";"Post Graduate";"39";"2700000";"0";"No";"BALASORE";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Ramanath Barik";"IND";"0";"12th Pass";"72";"2791001";"30000";"No";"BALASORE";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Saroj Kumar Panda";"IND";"0";"Graduate";"48";"238072";"0";"No";"BALASORE";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Subhash";"Pragatishil Samajwadi Party (Lohia)";"0";"Graduate";"26";"7000";"0";"No";"BALASORE";"ODISHA";"2019";"Lok Sabha";"No Comment"
