"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Aparajita Sarangi";"BJP";"0";"Graduate";"49";"31677600";"4329959";"Yes";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Arup Mohan Patnaik";"BJD";"0";"Graduate Professional";"63";"92700106";"270000";"No";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Bhakta Sekhar Ray";"Kalinga Sena";" 1";"10th Pass";"39";"4406894";"194439";"No";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Biswanath Ramachandra";"Freethought Party of India";"0";"Post Graduate";"75";"7635586";"4800";"No";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Biswanath Rout";"Krupaa Party";"0";"Post Graduate";"61";"4250149";"0";"No";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Janardan Pat";"CPI(M)";" 1";"Graduate Professional";"71";"23686053";"0";"No";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Jayant Kumar Das";"IND";"0";"Others";"43";"5558206";"2200000";"No";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Lalita Kumar Nayak";"BSP";"0";"Graduate Professional";"50";"1695002";"0";"No";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Madhu Sudan Yadav";"IND";"0";"Graduate";"69";"2927324";"181466";"No";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Pramila Behera";"CPI(ML) Red Star";"0";"Graduate";"42";"47252";"0";"No";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Sanjaya Kumar Sahoo";"IND";"0";"Graduate";"34";"2108850";"0";"No";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Subhranshu Sekhar Padh";"AITC";" 3";"Others";"43";"20388994";"8801273";"No";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Susil Kumar Jena";"IND";"0";"Post Graduate";"53";"3009216";"0";"No";"BHUBANESWAR";"ODISHA";"2019";"Lok Sabha";"No Comment"
