"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Bhartruhari Mahtab";"BJD";"0";"Post Graduate";"62";"106894976";"0";"Yes";"CUTTACK";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Akshaya Kumar Ka";"Krupaa Party";"0";"Graduate";"59";"35077797";"0";"No";"CUTTACK";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Ashok Pradha";"IND";"0";"5th Pass";"54";"2151160";"40000";"No";"CUTTACK";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Biswajit Goswam";"Kalinga Sena";"0";"Graduate";"27";"87412";"139555";"No";"CUTTACK";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Brundaban Das Ajad";"IND";" 3";"5th Pass";"55";"1255503";"0";"No";"CUTTACK";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Panchanan Kanungo";"INC";" 1";"Post Graduate";"67";"8739577";"152000";"No";"CUTTACK";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Prakash Mishra";"BJP";"0";"Post Graduate";"63";"93102541";"0";"No";"CUTTACK";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Pramod Kumar Mallick";"BSP";"0";"Graduate";"46";"109000";"0";"No";"CUTTACK";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Rajakishore Mallik";"SUCI(C)";"0";"Post Graduate";"52";"101187";"0";"No";"CUTTACK";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Sanjaya Kumar Sahoo";"IND";"0";"Graduate";"34";"1108850";"0";"No";"CUTTACK";"ODISHA";"2019";"Lok Sabha";"No Comment"
"Somiya Ranjan Das";"Bharat Prabhat Party";"0";"Graduate";"31";"699000";"740000";"No";"CUTTACK";"ODISHA";"2019";"Lok Sabha";"No Comment"
