"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Jasbir Singh Gill";"INC";"0";"Others";"48";"81393500";"4655000";"Yes";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Harjit Kau";"IND";"0";"10th Pass";"31";"320000";"0";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Jagir Kau";"SAD";" 1";"Graduate Professional";"65";"139193710";"5098845";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Jagir Kau";"IND";"0";"Illiterate";"48";"465000";"0";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Khajan Singh";"Nationalist Justice Party";"0";"8th Pass";"40";"308000";"0";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Manjinder Singh";"AAP";" 2";"12th Pass";"33";"4411000";"0";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Mohan Singh";"IND";"0";"10th Pass";"29";"1516000";"180000";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Onkar Singh";"IND";"0";"8th Pass";"30";"1930000";"0";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Paramjit Kau";"IND";"0";"Illiterate";"42";"250000";"0";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Paramjit Kaur Khalra";"Punjab Ekta Party";"0";"Post Graduate";"65";"11310000";"0";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Paramjit Singh";"IND";"0";"5th Pass";"37";"410000";"0";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Parminder Singh";"IND";" 1";"12th Pass";"38";"27000";"0";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Parwinder Singh";"Democratic Party of India (Ambedkar)";"0";"12th Pass";"32";"985050";"0";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Puran Singh";"Bahujan Samaj Party (Ambedkar)";"0";"Illiterate";"64";"648520";"48560";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Santokh Singh";"Hindustan Shakti Sena";" 3";"10th Pass";"44";"5871000";"0";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Stephen Bhatt";"SHS";"0";"12th Pass";"36";"123000";"15000";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Sukhwant Singh";"IND";"0";"10th Pass";"57";"1696000";"0";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
"Surjit Singh";"IND";" 1";"12th Pass";"40";"8593000";"2032483";"No";"KHADOOR SAHIB";"PUNJAB";"2019";"Lok Sabha";"No Comment"
