"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Mahant Balak Nath";"BJP";"0";"10th Pass";"35";"352929";"0";"Yes";"ALWAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Advocate Amit Kumar Gupta";"IND";"0";"Graduate Professional";"35";"11052767";"4874000";"No";"ALWAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Amit Sharma Jang";"Ambedkarite Party of India";"0";"12th Pass";"25";"300000";"0";"No";"ALWAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Anand Kumar Sa";"IND";"0";"Post Graduate";"37";"6924300";"0";"No";"ALWAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Anoop Kuma";"Pragatishil Samajwadi Party (Lohia)";"0";"10th Pass";"29";"556107";"126800";"No";"ALWAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Gulab Singh";"Poorvanchal Rashtriya Congress";"0";"Graduate";"50";"92140000";"0";"No";"ALWAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Imran Kha";"BSP";"0";"10th Pass";"31";"16328526";"5844684";"No";"ALWAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Jitendra Singh";"INC";" 2";"Graduate";"47";"136542038";"0";"No";"ALWAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Madan Lal";"IND";"0";"10th Pass";"46";"11078680";"0";"No";"ALWAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Pawan Kumar Ja";"IND";"0";"Graduate";"63";"9879042";"700000";"No";"ALWAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Tilak Raj Munjal";"IND";"0";"Graduate";"67";"4718096";"0";"No";"ALWAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
