"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Jaskaur Meena";"BJP";"0";"Post Graduate";"71";"143742564";"5825431";"Yes";"DAUSA";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Anju Devi Dhanka";"IND";"0";"Graduate";"42";"7155513";"2450000";"No";"DAUSA";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Bharti Meena";"IND";" 1";"12th Pass";"30";"3371000";"650000";"No";"DAUSA";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Bimla Devi Meena";"IND";"0";"Graduate";"61";"47054005";"559174";"No";"DAUSA";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Chandra Prakash Meena";"Nationalist Peoples Front";"0";"Graduate";"26";"600000";"0";"No";"DAUSA";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Dwarka Prasad";"BSP";"0";"Post Graduate";"36";"1000";"0";"No";"DAUSA";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Maliram Nayaka";"IND";"0";"10th Pass";"70";"4020000";"0";"No";"DAUSA";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Radhey Shyam Meena";"IND";"0";"Literate";"50";"18985200";"9000000";"No";"DAUSA";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Ramphool Meena";"Ambedkarite Party of India";"0";"10th Pass";"63";"3770000";"500000";"No";"DAUSA";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Rinku Kumar Meena";"Peoples Party of India (Democratic)";"0";"Graduate Professional";"32";"1000";"0";"No";"DAUSA";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Savita Meena";"INC";"0";"12th Pass";"54";"111123791";"1432480";"No";"DAUSA";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
