"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Hanuman Beniwal";"Rashtriya Loktantrik Party";"0";"Graduate Professional";"47";"4218568";"0";"Yes";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Dharmendra";"IND";"0";"8th Pass";"27";"475000";"0";"No";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Dharmi Chand";"IND";"0";"12th Pass";"44";"490119";"0";"No";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Dr. Jyoti Mirdha";"INC";"0";"Graduate Professional";"47";"650650190";"97090675";"No";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Hanuman Ram";"Rashtriya Power Party";"0";"8th Pass";"27";"145000";"0";"No";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Madanalal";"IND";"0";"8th Pass";"37";"1340000";"0";"No";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Prem Raj";"IND";"0";"12th Pass";"36";"254604";"0";"No";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Ram Chandra";"IND";"0";"Others";"62";"4506000";"0";"No";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Rastra Putra Hindu";"IND";"0";"Graduate Professional";"44";"6841191";"0";"No";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Ravindra Singh Shekhawat";"IND";"0";"Graduate";"38";"109000";"0";"No";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Saroj Prajapat";"IND";"0";"Post Graduate";"41";"8324000";"1200000";"No";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Shiv Naraya";"IND";" 1";"10th Pass";"47";"4171000";"0";"No";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Sohanaram Rath";"IND";"0";"Post Graduate";"62";"8810588";"700000";"No";"NAGAUR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
