"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sumedhanand Saraswati";"BJP";"0";"Post Graduate";"67";"2827638";"2719583";"Yes";"SIKAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Ajaypal";"IND";"0";"10th Pass";"58";"4015500";"150000";"No";"SIKAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Amraram";"CPI(M)";"0";"Post Graduate";"63";"4444641";"780500";"No";"SIKAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Ankur Sharma";"IND";"0";"Post Graduate";"34";"20294000";"0";"No";"SIKAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Bansilal Kataria";"IND";"0";"10th Pass";"59";"551000";"0";"No";"SIKAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Bhagirath Singh Kharrte Bhadhada";"IND";"0";"Graduate";"51";"5059000";"0";"No";"SIKAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Bhagwan Sahay";"IND";"0";"Literate";"55";"200000";"0";"No";"SIKAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Shiv Bhagawa";"Dalit Soshit Pichhara Varg Adhikar Dal";" 2";"8th Pass";"42";"5412447";"84960";"No";"SIKAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Sita Dev";"BSP";"0";"8th Pass";"52";"974458";"0";"No";"SIKAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Subhash Maharia";"INC";"0";"Graduate";"61";"82542126";"1450462";"No";"SIKAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Vijendra Kuma";"Bhartiya Jan Satta Party";"0";"8th Pass";"26";"4931350";"117000";"No";"SIKAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
"Vikas Kuma";"IND";"0";"Post Graduate";"26";"16000";"0";"No";"SIKAR";"RAJASTHAN";"2019";"Lok Sabha";"No Comment"
