"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dayanidhi Maran";"DMK";" 1";"Graduate";"52";"116790616";"0";"Yes";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Chandranathan S";"IND";"0";"Graduate";"27";"69289";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Dinakaran G";"IND";"0";"Post Graduate";"29";"70000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Govindraj L";"IND";"0";"Graduate Professional";"39";"7015000";"5300000";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Gunasekar N";"IND";" 1";"10th Pass";"29";"175000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Jitendra Kumar Ja";"RPI";"0";"Graduate";"41";"12900000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Kameela Nass";"Makkal Needhi Maiam";"0";"Post Graduate";"54";"71905468";"9490525";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Karnan C S";"Anti Corruption Dynamic Party";"0";"Graduate";"63";"10750000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Karthikeyan R";"Naam Tamilar Katchi";"0";"Post Graduate";"31";"17606805";"10680758";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Kuppusamy K";"IND";"0";"5th Pass";"46";"37000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"M Parthasarath";"BSP";"0";"12th Pass";"49";"21000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Madhanagopal T";"IND";"0";"Graduate Professional";"41";"1752500";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Najimunnissa";"Anaithu Makkal Katchi";"0";"8th Pass";"48";"1040000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Nasar K";"IND";"0";"10th Pass";"35";"192000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Prabakaran N";"IND";"0";"Graduate Professional";"27";"75000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Prabhakaran K M";"IND";"0";"5th Pass";"57";"135000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Pushparaj J L";"IND";"0";"Literate";"28";"149000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Raghavan M";"IND";"0";"10th Pass";"62";"99000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Raj Ramchand";"IND";"0";"Graduate";"51";"11287869";"217873";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Ravichandran M";"IND";"0";"Post Graduate";"55";"17290000";"12579000";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Sam Paul S R";"Pattali Makkal Katchi";"0";"Post Graduate";"41";"299512500";"258028373";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Sampaul";"IND";"0";"Post Graduate";"28";"54500";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Samuel Paul P";"IND";"0";"Post Graduate";"29";"350808";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Sasikuma";"Tamil Nadu Ilangyar Katchi";" 2";"Others";"36";"1881716";"288000";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Sheik Mohamed K";"SDPI";" 3";"Others";"48";"2274313";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Suresh Babu D";"Desiya Makkal Sakthi Katchi";"0";"Post Graduate";"43";"28920971";"8062407";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Tamilarasan V V";"IND";"0";"Graduate";"33";"96000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"V R Geethalakshm";"Pyramid Party of India";"0";"12th Pass";"51";"650000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"V Radhakrishna";"IND";"0";"Graduate";"47";"51629805";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Vaithiyanathan R";"IND";"0";"Post Graduate";"39";"1443454";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Valarmathi K";"Akila India Vallalar Peravai";"0";"Others";"46";"2280000";"0";"No";"CHENNAI CENTRAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
