"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sumathy Alias Thamizhachi Thangapandian";"DMK";"0";"Doctorate";"56";"91793460";"500000";"Yes";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"A.J.Sh";"Naam Tamilar Katchi";"0";"Post Graduate";"26";"3466760";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"A.Naresh";"Tamil Nadu Ilangyar Katchi";"0";"Graduate Professional";"29";"240000";"14000";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Agni Sriramachandra";"IND";"0";"10th Pass";"38";"3000000";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"B.Raj";"IND";"0";"Graduate Professional";"28";"30200";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"C.Ros";"IND";"0";"12th Pass";"29";"2023";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"D.Harihara";"IND";"0";"Others";"44";"74482760";"16000000";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"D.Karthick";"IND";"0";"Graduate Professional";"33";"579500";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"E.Dhanasekara";"IND";"0";"10th Pass";"51";"507058";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"E.Subaya";"IND";"0";"Doctorate";"55";"2375841961";"18087123";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"G.Devashagayam";"IND";"0";"Post Graduate";"40";"15460579";"9500000";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"G.Dhanasekara";"IND";"0";"Graduate Professional";"48";"6896493";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"I.Chidambara Anantha Raja";"IND";"0";"Graduate Professional";"35";"72183";"146223";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"J.Jayavardha";"AIADMK";"0";"Graduate Professional";"31";"32896587";"9621000";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"J.Sibi Chakkaravarthy";"IND";"0";"Graduate Professional";"54";"833153";"470000";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Janci.J";"IND";" 1";"Graduate";"36";"373500";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"K.Jayarama";"IND";"0";"12th Pass";"43";"14925696";"2053100";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"K.Kanna";"IND";"0";"Graduate";"46";"249500";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"K.Murali Krishna";"Pyramid Party of India";"0";"Graduate";"69";"48290000";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"K.Saravana Perumal";"IND";"0";"Graduate";"33";"249000";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"K.Sudhaka";"IND";"0";"5th Pass";"50";"81000";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Kuppal.G.Devadoss";"IND";"0";"8th Pass";"64";"15731500";"6800000";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"M.A.Jeyakuma";"Desiya Makkal Sakthi Katchi";"0";"10th Pass";"64";"35000";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"M.Moorthy";"IND";"0";"8th Pass";"56";"85342";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"M.Rajeswari Priya";"IND";"0";"Graduate";"36";"12164895";"7432748";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"M.Ramanujam Alias M.Radha";"IND";"0";"12th Pass";"53";"50000";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"N.Subrama";"IND";"0";"Post Graduate";"49";"8217865";"200100";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"P.Azhag";"IND";"0";"Graduate Professional";"45";"951363";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"P.Karthikeya";"IND";"0";"Graduate";"43";"380407";"0";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"R.Ganesa";"IND";"0";"Graduate Professional";"51";"5785732";"818474";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"R.Johnso";"Indian Christian Front";" 2";"10th Pass";"37";"1595871";"189353";"No";"CHENNAI SOUTH";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
