"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Chinraj A.K.P";"DMK";"0";"Graduate";"54";"485205173";"18642484";"Yes";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Arumugam V";"IND";"0";"10th Pass";"51";"309000";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Baskar B";"Naam Tamilar Katchi";"0";"Doctorate";"44";"19918500";"137800000";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Cho V";"IND";"0";"Graduate";"47";"59000";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Kaliappan P";"IND";"0";"12th Pass";"64";"15093092";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Kaliappan P";"AIADMK";"0";"10th Pass";"70";"116009849";"4281652";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Kaliappan S";"IND";"0";"5th Pass";"64";"1892753";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Kaliyappan K";"IND";"0";"5th Pass";"73";"3662023";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Manickam S";"Ulzaipali Makkal Katchy";"0";"5th Pass";"51";"2652000";"200000";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Muthusamy M.P.";"Ganasangam Party of India";"0";"Post Graduate";"63";"9733750";"2414000";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Natarajan M";"IND";"0";"8th Pass";"51";"14330000";"1681105";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Prabhu K";"IND";"0";"12th Pass";"34";"58000";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Raman V";"BSP";"0";"5th Pass";"45";"21000";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Ramasamy N";"IND";"0";"Illiterate";"51";"69300";"90000";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Ramasamy P";"IND";"0";"12th Pass";"55";"361298";"70000";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Ramesh T";"Ahimsa Socialist Party";"0";"10th Pass";"39";"3005000";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Ramesh T.R";"IND";"0";"10th Pass";"39";"3959728";"156000";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Sakthivel S";"IND";"0";"8th Pass";"50";"1336000";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Sakthiyvel N.K.S";"IND";" 6";"Post Graduate";"47";"12540000";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Saminathan P.P";"IND";"0";"12th Pass";"54";"36680249";"3531974";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Saravanavel R";"IND";"0";"Graduate Professional";"53";"42174000";"3600000";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Selladurai S";"IND";"0";"8th Pass";"38";"347000";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Selvaraj K.R";"IND";"0";"10th Pass";"63";"14899953";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Senthilmurugan S";"Desiya Makkal Sakthi Katchi";"0";"10th Pass";"50";"223355";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Sivarajee S";"IND";"0";"Illiterate";"54";"324375";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Thangavelu R";"Makkal Needhi Maiam";"0";"Graduate";"57";"6280106";"260000";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Vijayakarthikeyan B";"IND";"0";"Post Graduate";"31";"113700";"140000";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Vinothkumar V";"IND";"0";"10th Pass";"33";"417000";"0";"No";"NAMAKKAL";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
